The Dreamers,Windows Of My Soul,Chris Camozzi,266.5ø
Let That Liar Alone,Out There: Wild & Wondrous Roots Of Rock 'N' Roll Volume Two,Rev. Edward W. Clayborn,157.2ø
Snowshoes,She Knows,Melanie Garside,223.4ø
"All Right ""Build A House",She Knows,Melanie Garside,246.3ø
Umgqashiyo,Stoki Stoki,Mahlathini and the Mahotella Queens,302.6ø
Stoki Stoki,Stoki Stoki,Mahlathini and the Mahotella Queens,285.4ø
Somebody,Stoki Stoki,Mahlathini and the Mahotella Queens,275.4ø
Sibali,Stoki Stoki,Mahlathini and the Mahotella Queens,275.2ø
Nyamphemphe,Stoki Stoki,Mahlathini and the Mahotella Queens,258.4ø
Ntate Le Mme,Stoki Stoki,Mahlathini and the Mahotella Queens,323.4ø
Masibambaneni,Stoki Stoki,Mahlathini and the Mahotella Queens,297.6ø
Ilamba Lidlile,Stoki Stoki,Mahlathini and the Mahotella Queens,273.1ø
Nothing Will Change,No Matter,X-Act,269.3ø
Weihnachten Zu Hause,Rohes Fest,Tresenlesen,103.9ø
Weihnachten Bei Malmsheimers,Rohes Fest,Tresenlesen,368.6ø
Weihnachten,Rohes Fest,Tresenlesen,229.1ø
Ein Weihnachtsschmaus,Rohes Fest,Tresenlesen,142.2ø
Ein Weihnachtsmann Auf Abwegen,Rohes Fest,Tresenlesen,524.4ø
Die Bescherung,Rohes Fest,Tresenlesen,365.9ø
How Can You Have The Blues?,Kansas City Kitty & Georgia Tom (1930-1934),Kansas City Kitty & Georgia Tom,172.2ø
Versa,Versa,Mad Dog Loose,183.4ø
Devil Waltz,Material Sunset,Mad Dog Loose,253.8ø
The Trip,Playing On Plastic,Latex Empire,367.3ø
Don't Cry Baby,The Uncollected: Erskine Hawkins And His Orchestra,Erskine Hawkins and His Orchestra,241.2ø
Caldonia,AMOR - Nice OLD Music - Gute ALTE Musik,Erskine Hawkins & His Orchestra,180.5ø
Bicycle Bounce,Riff Time (The Essence Of Swing),Erskine Hawkins and His Orchestra,208.0ø
Bear Mash Blues,Tuxedo Junction,Erskine Hawkins & His Orchestra,193.5ø
Luke,Super Sounds Of Trance,Planet E Team,533.8ø
You've Got My Mind Messed Up,The Complete Quiet Elegance on Hi Records,Quiet Elegance,170.9ø
Roots Of Love,The Complete Quiet Elegance on Hi Records,Quiet Elegance,194.4ø
I'm Afraid Of Losing You,The Complete Quiet Elegance on Hi Records,Quiet Elegance,164.3ø
After You,The Complete Quiet Elegance on Hi Records,Quiet Elegance,150.3ø
Japanese Couple In Reverse,Pop American Style,All About Chad,126.6ø
Union,Goodbye Blue Monday,Atomic 61,321.1ø
Technicolor Wonderland,Goodbye Blue Monday,Atomic 61,296.9ø
Sugar Candy,Goodbye Blue Monday,Atomic 61,182.9ø
Ray Slater's Meteoric Rise,Goodbye Blue Monday,Atomic 61,196.0ø
Inertia No. 3,Goodbye Blue Monday,Atomic 61,248.1ø
Fifth Night,Goodbye Blue Monday,Atomic 61,319.1ø
Crash Outfit,Goodbye Blue Monday,Atomic 61,133.5ø
Claymore,Goodbye Blue Monday,Atomic 61,233.8ø
All In This,Goodbye Blue Monday,Atomic 61,194.7ø
Space Junkie,Cream,Holy Barbarians,201.6ø
Brother Fights,Cream,Holy Barbarians,262.3ø
The Poor Barber,Dub Gone 2 Crazy,King Tubby | Prince Jammy,200.6ø
Channel One Under Heavy Manners,Dub Gone 2 Crazy,King Tubby | Prince Jammy,204.3ø
Channel Is A Joker,Dub Gone 2 Crazy,King Tubby | Prince Jammy,213.9ø
Channel Get Knockout,Dub Gone 2 Crazy,King Tubby | Prince Jammy,205.2ø
Breaking Up Dubwise,Dub Gone 2 Crazy,King Tubby | Prince Jammy,249.3ø
A Living Version,Dub Gone 2 Crazy,King Tubby | Prince Jammy,190.6ø
