Djamballa,Cinema - Anni 70,Fausto Papetti,225.3ø
Pump Me Up,The Best Of Grandmaster Flash & Sugar Hill,Grandmaster Flash & The Furious Five,85.4ø
Twister,Anarchy In The UV,Rubella Ballet,533.9ø
Trial 13,Anarchy In The UV,Rubella Ballet,181.3ø
Tangled Web,Anarchy In The UV,Rubella Ballet,253.6ø
See Saw,Anarchy In The UV,Rubella Ballet,189.4ø
Money Talks,Anarchy In The UV,Rubella Ballet,219.9ø
Love Life,Anarchy In The UV,Rubella Ballet,149.7ø
Games Of Life,Anarchy In The UV,Rubella Ballet,166.2ø
Death Train,Anarchy In The UV,Rubella Ballet,346.7ø
Liverpoolin pokia,Dirly dirly dee,Irwin Goodman,157.3ø
Kusessa ollaan,Dirly dirly dee,Irwin Goodman,240.0ø
Ikuinen kapinallinen,Dirly dirly dee,Irwin Goodman,193.6ø
Hei bab bab,Dirly dirly dee,Irwin Goodman,194.6ø
Minnie The Moocher,The Early Years 1930 - 1934 Disc D,Cab Calloway And His Orchestra,215.0ø
Fancy Dive,A Light In The Attic,Shel Silverstein,31.1ø
Method To My Madness,Killer Lords,Lords Of The New Church,196.5ø
Ugasi me,The Ultimate Collection,Parni Valjak,188.6ø
Malena,The Ultimate Collection,Parni Valjak,366.6ø
Gledam je dok spava,The Ultimate Collection,Parni Valjak,257.5ø
Maria Teresa,Studio & live,Pierangelo Bertoli,260.7ø
L'odore Del Porto,Masterpiece,Pierangelo Bertoli,266.6ø
Fiume Nero,Masterpiece,Pierangelo Bertoli,309.1ø
Sweet Surprise,Sleepwalk: A Selection By Optimo (Espacio),Chris And Cosey,270.5ø
What Can I Do,Love Is In Your Eyes,Gerard Joling,206.4ø
We Don't Have To Say The Words,Love Is In Your Eyes,Gerard Joling,215.8ø
Ticket To The Tropics,Love Is In Your Eyes,Gerard Joling,348.8ø
No Strings Attached,Love Is In Your Eyes,Gerard Joling,205.5ø
Love Is In Your Eyes,Love Is In Your Eyes,Gerard Joling,177.2ø
Love Don't Pay,Love Is In Your Eyes,Gerard Joling,197.1ø
I Can Only Give You Everything,Love Is In Your Eyes,Gerard Joling,230.5ø
Hearts On Fire,Love Is In Your Eyes,Gerard Joling,241.1ø
Heartbeat,Love Is In Your Eyes,Gerard Joling,182.1ø
Crying,Love Is In Your Eyes,Gerard Joling,198.3ø
Wart Bis Hamlich Wird Und Stu,Wien Bei Nacht,Rainhard Fendrich,156.7ø
Manchmal denk i no an di,Macho Macho,Rainhard Fendrich,236.8ø
"Wariant ""C",Aya RL (Czerwona),Aya RL,291.5ø
Unikaj Zdjec,Aya RL (Czerwona),Aya RL,298.4ø
Sciana,Aya RL (Czerwona),Aya RL,313.5ø
Polska,Aya RL (Czerwona),Aya RL,255.8ø
Pogo II,Aya RL (Czerwona),Aya RL,174.1ø
Pogo I,Aya RL (Czerwona),Aya RL,132.7ø
Nie Zostawie,Aya RL (Czerwona),Aya RL,231.6ø
Ksiezycowy Krok,Aya RL (Czerwona),Aya RL,275.5ø
A Ja Sie Ukrywam,Aya RL (Czerwona),Aya RL,224.6ø
Damals,Glut am Horizont,Hannes Wader,283.7ø
White Lies,Fervor / Lost & Found,Jason & The Scorchers,201.0ø
Still Tied,EMI Years,Jason & The Scorchers,202.5ø
Lost Highway,EMI Years,Jason & The Scorchers,123.7ø
Last Time Around,EMI Years,Jason & The Scorchers,187.5ø
If Money Talks,Fervor / Lost & Found,Jason & The Scorchers,154.8ø
Far Behind,Fervor / Lost & Found,Jason & The Scorchers,229.4ø
Change The Tune,Fervor / Lost & Found,Jason & The Scorchers,161.4ø
Blanket Of Sorrow,EMI Years,Jason & The Scorchers,142.4ø
Faccia di cane,Quelli come noi,New Trolls,270.4ø
Windfall,The Small Price Of A Bicycle,The Icicle Works,256.1ø
Seven Horses,The Small Price Of A Bicycle,The Icicle Works,259.3ø
Rapids,The Small Price Of A Bicycle,The Icicle Works,268.0ø
Perambulator,The Small Price Of A Bicycle,The Icicle Works,239.5ø
Hollow Horse,The Small Price Of A Bicycle,The Icicle Works,245.4ø
Conscience Of Kings,The Small Price Of A Bicycle,The Icicle Works,315.2ø
Book Of Reason,The Small Price Of A Bicycle,The Icicle Works,228.2ø
Assumed Sundown,The Small Price Of A Bicycle,The Icicle Works,353.4ø
All The Daughters (Of Her Father's House),The Small Price Of A Bicycle,The Icicle Works,272.5ø
Thought I'd Never See You Again,Working Nights,Working Week,386.5ø
Sweet Nothing,Working Nights,Working Week,219.2ø
Solo,Working Nights,Working Week,280.6ø
No Cure No Pay,Working Nights,Working Week,508.1ø
Autumn Boy,Working Nights,Working Week,393.5ø
You've Been Bought  (On The Fritz Album Version),On the Fritz,STEVE TAYLOR,163.7ø
You Don't Owe Me Nothing  (On The Fritz Album Version),On the Fritz,STEVE TAYLOR,203.2ø
To Forgive  (On The Fritz Album Version),On the Fritz,STEVE TAYLOR,234.8ø
To Forgive,Now The Truth Can Be Told,STEVE TAYLOR,232.0ø
This Disco (Used To Be   Cute Cathedral) (On The Fritz Album Version),On the Fritz,STEVE TAYLOR,245.3ø
On The Fritz  (On The Fritz Album Version),On the Fritz,STEVE TAYLOR,235.7ø
On The Fritz,Now The Truth Can Be Told,STEVE TAYLOR,237.9ø
Lifeboat  (On The Fritz Album Version),On the Fritz,STEVE TAYLOR,267.2ø
It's A Personal Thing  (On The Fritz Album Version),On the Fritz,STEVE TAYLOR,178.2ø
I Manipulate  (On The Fritz Album Version),On the Fritz,STEVE TAYLOR,306.1ø
I Just Wanna Know  (On The Fritz Album Version),On the Fritz,STEVE TAYLOR,279.7ø
I Just Wanna Know,Now The Truth Can Be Told,STEVE TAYLOR,279.1ø
Drive_ He Said  (On The Fritz Album Version),On the Fritz,STEVE TAYLOR,268.5ø
Blacka rasta,Blacka Rasta,Kalle Baah,254.1ø
Burning Down,Gothic Party Time,Play Dead,306.6ø
Yvonne (LP Version),Downtown,Marshall Crenshaw,233.1ø
The Distance Between Us (LP Version),Downtown,Marshall Crenshaw,222.0ø
Right Now (LP Version),Downtown,Marshall Crenshaw,158.1ø
Like A Vague Memory,This Is Easy: The Best Of Marshall Crenshaw,Marshall Crenshaw,249.0ø
Lesson Number One (LP Version),Downtown,Marshall Crenshaw,248.7ø
