Radio,Duet,Gary Burton_ Chick Corea,314.7ø
Seelenblues,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,286.9ø
Schwedenlied,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,274.3ø
Der Bi-Ba-Butzemann,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,249.9ø
Anlass-Jodler,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,239.4ø
Rainbow Seeker,Collection,Joe Sample,325.3ø
Trying To Kill Hobbits,Lord Of The Rings,Leonard Rosenman,182.6ø
The Voyage To Mordor: Theme from The Lord Of The Rings,Lord Of The Rings,Leonard Rosenman,283.5ø
The Journey Begins: Encounter With The Ringwraiths,Lord Of The Rings,Leonard Rosenman,268.3ø
Riders Of Rohan,Lord Of The Rings,Leonard Rosenman,224.3ø
Mithrandir,Lord Of The Rings,Leonard Rosenman,197.9ø
Mines Of Moria,Lord Of The Rings,Leonard Rosenman,370.1ø
History Of The Ring,Lord Of The Rings,Leonard Rosenman,391.7ø
Helm's Deep,Lord Of The Rings,Leonard Rosenman,422.5ø
Gandalf Remembers,Lord Of The Rings,Leonard Rosenman,139.5ø
Frodo Disappears,Lord Of The Rings,Leonard Rosenman,159.0ø
Following The Orcs,Lord Of The Rings,Leonard Rosenman,196.9ø
Fleeing Orcs,Lord Of The Rings,Leonard Rosenman,151.2ø
Escape To Rivendell,Lord Of The Rings,Leonard Rosenman,382.9ø
Company Of The Ring,Lord Of The Rings,Leonard Rosenman,99.5ø
Attack Of The Orcs,Lord Of The Rings,Leonard Rosenman,244.5ø
New York Shuffle,You Can't Be Too Strong - An Introduction To Graham Parker,Graham Parker & The Rumour,180.1ø
Broken Head,Sleepwalk: A Selection By Optimo (Espacio),Eno_ Moebius and Roedelius,315.1ø
Thunder Island,70's Pop Rocks,Jay Ferguson,205.3ø
Soulin' (LP Version),Thunder Island,Jay Ferguson,247.3ø
Nightshift (LP Version),Thunder Island,Jay Ferguson,216.1ø
Magic Moments (LP Version),Thunder Island,Jay Ferguson,239.4ø
Love Is Cold (LP Version),Thunder Island,Jay Ferguson,228.1ø
Losing Control (LP Version),Thunder Island,Jay Ferguson,230.9ø
Happy Too (LP Version),Thunder Island,Jay Ferguson,151.1ø
Happy Birthday Baby (LP Version),Thunder Island,Jay Ferguson,255.9ø
Cozumal (LP Version),Thunder Island,Jay Ferguson,194.7ø
Babylon (LP Version),Thunder Island,Jay Ferguson,263.4ø
Stumblin' In,The Best Of,Chris Norman & Suzi Quatro,238.2ø
A Stranger With You,The Montreux Album,Chris Norman & Suzi Quatro,233.3ø
Pogo Pogo,Jet Boy,Elton Motello,158.9ø
Jet Boy Jet Girl,Jet Boy,Elton Motello,188.6ø
