Sol Och Regn,Stadsvandringar,Dungen,263.5ø
Slipping Through The Hands Of God (Album Version),Lifeless,Eighteen Visions,213.3ø
Slipping Through the Hands Of God,Best Of,Eighteen Visions,197.1ø
Sacreligious Murder (Album Version),Lifeless,Eighteen Visions,275.5ø
Patricide (Album Version),Lifeless,Eighteen Visions,241.1ø
Of Pain (Album Version),Lifeless,Eighteen Visions,173.8ø
Mental Repression (Album Version),Lifeless,Eighteen Visions,233.4ø
Life's Blood (Album Version),Lifeless,Eighteen Visions,175.4ø
Life's Blood,Best Of,Eighteen Visions,171.1ø
Bust Da Beat,Best Of Dwarf Records,Exodus,292.2ø
Music for 18 Musicians: Section VII,Phases,Reich_ Steve,259.0ø
Music for 18 Musicians: Section IV,Phases,Reich_ Steve,396.9ø
Music for 18 Musicians: Section IIIA,Phases,Reich_ Steve,235.1ø
Music for 18 Musicians: Section II,Phases,Reich_ Steve,313.1ø
Music for 18 Musicians: Section I,Phases,Reich_ Steve,238.5ø
Music for 18 Musicians: Pulses,Phases,Reich_ Steve,370.8ø
A Profound Hatred Of Man,Metal Blade 25th Anniversary: Live In Worcester_ MA,Shai Hulud,223.3ø
Up 'Gainst The Wall,Impressions,John Coltrane Quartet,198.7ø
Tunji,Coltrane,John Coltrane Quartet,391.5ø
Reggae Music,The Egg Files,Mad Professor,202.2ø
Mental Bondage,The Dubest 1982 - 2003,Mad Professor,263.1ø
False Curl Girl,Under The Spell Of Dub,Mad Professor,218.6ø
Black Trump,The Rude Awakening,Cocoa Brovas,264.3ø
Symptom Of The Universe (Album Version),Blood-Rooted,Sepultura,255.2ø
Roots Bloody Roots (Demo) (Album Version),Blood-Rooted,Sepultura,212.3ø
Refuse/Resist (Live) (Album Version),Blood-Rooted,Sepultura,230.6ø
Propaganda (Live) (Album Version),Blood-Rooted,Sepultura,206.0ø
Procreation (Of The Wicked) (Album Version),Blood-Rooted,Sepultura,219.2ø
Policia (Album Version),Blood-Rooted,Sepultura,107.7ø
Inhuman Nature (Album Version),Blood-Rooted,Sepultura,191.2ø
Biotech Is Godzilla (Live) (Album Version),Blood-Rooted,Sepultura,129.0ø
Beneath The Remains/Escape To The Void (Live) (Album Version),Blood-Rooted,Sepultura,228.6ø
Weak Spot,Love In The First Degree,Evelyn Thomas,182.2ø
Masquerade,The Energy of Evelyn Thomas,Evelyn Thomas,484.4ø
