The Chase,The Kingdom,Danny Elfman,288.8ø
Slow Boat To China,Broadcast Performances,Charlie Parker,293.4ø
Blue Bird,Perfect Bebop,Charlie Parker,174.3ø
Relaxin' With Lee,Charlie Parker,Charlie Parker,235.6ø
52nd Street Theme,The Essential Jazz Collection CD 2,Charlie Parker,125.9ø
Waiting For That Day,Listen Without Prejudice Vol. 1,George Michael,290.0ø
Soul Free,Listen Without Prejudice Vol. 1,George Michael,330.8ø
Something To Save,Listen Without Prejudice Vol. 1,George Michael,198.4ø
Praying For Time,Ladies And Gentlemen... The Best Of George Michael,George Michael,281.3ø
Heal The Pain,Listen Without Prejudice Vol. 1,George Michael,279.2ø
Cowboys And Angels,Ladies And Gentlemen... The Best Of George Michael,George Michael,434.9ø
Can I Kick It?,Kiss R&B Digital Downloads,A Tribe Called Quest,211.0ø
No More  (Nu Thang Album Version),Nu Thang,DC Talk,217.4ø
Can I Get A Witness  (Nu Thang Album Version),Nu Thang,DC Talk,265.7ø
Youthful Expression,Peoples' Instinctive Travels & the Paths of Rhythm,A Tribe Called Quest,293.3ø
Rhythm (Devoted To The Art Of Moving Butts),Peoples' Instinctive Travels & the Paths of Rhythm,A Tribe Called Quest,241.8ø
Push It Along,Peoples' Instinctive Travels & the Paths of Rhythm,A Tribe Called Quest,462.2ø
Mr. Muhammad,Peoples' Instinctive Travels & the Paths of Rhythm,A Tribe Called Quest,214.0ø
Ham 'N' Eggs,Peoples' Instinctive Travels & the Paths of Rhythm,A Tribe Called Quest,328.4ø
Go Ahead In The Rain,Peoples' Instinctive Travels & the Paths of Rhythm,A Tribe Called Quest,234.9ø
Footprints,Peoples' Instinctive Travels & the Paths of Rhythm,A Tribe Called Quest,240.7ø
Description Of A Fool,Collections,A Tribe Called Quest,342.2ø
After Hours,Peoples' Instinctive Travels & the Paths of Rhythm,A Tribe Called Quest,279.3ø
Walk Our Own Road (Album Version),Heroes & Friends,Randy Travis,166.3ø
The Human Race (Album Version),Heroes & Friends,Randy Travis,150.0ø
Smokin' The Hive (Album Version),Heroes & Friends,Randy Travis,146.3ø
Shopping For Dresses (Album Version),Heroes & Friends,Randy Travis,180.7ø
Heroes And Friends (Reprise)  (Album Version),Heroes & Friends,Randy Travis,118.3ø
The Voice Of Enigma,McMxc A.D.,Enigma,141.6ø
Mea Culpa,MCMXC_ A.D.,Enigma,303.4ø
Knocking On Forbidden Doors,McMxc A.D.,Enigma,262.7ø
Callas Went Away,McMxc A.D. (More Music Version),Enigma,269.3ø
Solitude,The Complete Duke Ellington Songbook (Amazon Edition),Ella Fitzgerald,130.5ø
Mood Indigo,Ella Fitzgerald Sings The Great Ameriacan Songwriters Vol 4,Ella Fitzgerald,205.8ø
I Want You,Gold,Marvin Gaye,235.6ø
Killer Wolf,Danzig II-Lucifuge,Danzig,239.2ø
Year Of The Cat,Lovey,The Lemonheads,148.3ø
Left For Dead,Lovey,The Lemonheads,125.0ø
Brass Buttons,Lovey,The Lemonheads,191.5ø
[Untitled],Lovey,The Lemonheads,81.3ø
[The] Door,Lovey,The Lemonheads,340.2ø
Twice As Hard,Live,The Black Crowes,275.4ø
Thick N' Thin,Shake Your Money Maker,The Black Crowes,162.4ø
Struttin' Blues,Shake Your Money Maker,The Black Crowes,249.1ø
Stare It Cold,Shake Your Money Maker,The Black Crowes,314.2ø
Sister Luck,Shake Your Money Maker,The Black Crowes,313.3ø
She Talks To Angels,FREAK N ROLL,Black Crowes,370.9ø
Seeing Things,FREAK N ROLL,Black Crowes,436.3ø
Hard To Handle,Live,The Black Crowes,206.9ø
