Macchine E Dollari,Ora E Per Sempre,Timoria,233.2ø
You Used To Hold Me,Workout Essentials - 20 Keep Fit Dance Classics (Includes Continuous Mixes),Ralphi Rosario featuring Xavier Gold,403.8ø
Misty,Midnight Melodies,Fausto Papetti,167.0ø
Manha De Carnaval,Midnight Melodies,Fausto Papetti,147.0ø
Abrazame,Us and Them,Fausto Papetti,220.0ø
This Is It,The Pop Years 1976 - 1977,Melba Moore,210.9ø
Pluckin' The Bass,New York 1939-1940_ Vol. D,Cab Calloway And His Orchestra,164.7ø
Bugle Call Rag,The Early Years 1930-1934 - CD B,Cab Calloway & His Orchestra,153.3ø
What's The Matter With You,Mouth Harp Maestro,Walter Horton,133.7ø
Walter's Blues (Aka I'm In Love With You Baby),Mouth Harp Maestro,Walter Horton,156.5ø
Now Tell Me Baby,Mouth Harp Maestro,Walter Horton,184.4ø
Jumpin' Blues,Mouth Harp Maestro,Walter Horton,134.2ø
Hard Hearted Woman,Mouth Harp Maestro,Walter Horton,159.1ø
Go Long Woman,Mouth Harp Maestro,Walter Horton,180.5ø
Cotton Patch Hot Foot,Mouth Harp Maestro,Walter Horton,153.1ø
Blues In The Morning,Mouth Harp Maestro,Walter Horton,168.9ø
Black Gal,Mouth Harp Maestro,Walter Horton,175.9ø
Useless (I Don't Need You Now),Original Hits - The Girls,Kym Mazelle,213.6ø
Why'd You Lie?,Colin James,Colin James,326.6ø
Down In The Bottom,Colin James,Colin James,276.8ø
Gold,On The Strength,Grandmaster Flash,260.9ø
I'm Walking Behind You,The Great Vocalists,Eddie Fisher,189.3ø
I'm Spinning,Doo Wop Classics Vol. 9,Del Vikings,108.2ø
Unfinished Business,Super Hits,Gregory Abbott,225.8ø
Two Of A Kind,Super Hits,Gregory Abbott,175.3ø
Runaway,Super Hits,Gregory Abbott,201.8ø
Prisoner Of Love,Super Hits,Gregory Abbott,282.3ø
I'll Prove It To You,Super Hits,Gregory Abbott,245.2ø
Back To Stay,Super Hits,Gregory Abbott,237.1ø
Wreck Of The Old '97,The Original Hits Of Lonnie Donegan,Lonnie Donegan,148.2ø
Wabash Cannonball,Skiffle King,Lonnie Donegan,117.4ø
Tom Dooley,Fountain Gold 1 - Good Rockin Tonight,Lonnie Donegan,201.3ø
Puttin' On The Style,Skiffle King,Lonnie Donegan,217.4ø
Nobody's Child,The Greatest Lonnie Donegan,Lonnie Donegan,289.4ø
Jack O' Diamonds,The Original Hits Of Lonnie Donegan,Lonnie Donegan,167.9ø
Grand Coulee Dam,Puttin' On The Style,Lonnie Donegan,157.1ø
Gamblin' Man,1957 Radio Hits,Lonnie Donegan,197.9ø
Crazy Music,Alle Hits auf einer CD,Ottawan,329.4ø
Soy Un Ser Humano,Un Tio Cabal,Los Enemigos,264.5ø
John Wayne,Alguna Copla De Los Enemigos,Los Enemigos,228.3ø
Siihen loppui satumaa,Kuu,Tuomari Nurmio,199.3ø
Reissumiehen reppu,Rentun ruusu,Irwin Goodman,182.4ø
Bambina_ Bambina,Rentun ruusu,Irwin Goodman,157.2ø
Walter,Epicurean,The Orchids,119.6ø
Tiny Words,Epicurean,The Orchids,222.0ø
Harlem Camp Meeting,The Very Best Of,Cab Calloway,187.3ø
Cruisin' With Cab,Hip Cats And Cool Jive,Cab Calloway,249.1ø
Boog It,Hip Cats And Cool Jive,Cab Calloway,223.3ø
True Love Ways,Greatest Hits,Mickey Gilley,155.7ø
Moja je pjesma lagana,The Ultimate Collection,Parni Valjak,258.7ø
Things Will Be Nice,London Weekend,Another Sunny Day,114.1ø
The Centre Of My Little World,London Weekend,Another Sunny Day,156.7ø
I'm In Love With A Girl Who Doesn't Know I Exist,London Weekend,Another Sunny Day,98.7ø
Anorak City,London Weekend,Another Sunny Day,138.2ø
Sad Sweet Dreamer,Total 70s,Sweet Sensation,200.2ø
Step Outside,Now That's What I Call Quite Good,The Housemartins,255.3ø
I Smell Winter,Now That's What I Call Quite Good,The Housemartins,206.1ø
He Ain't Heavy_ He's My Brother,Now That's What I Call Quite Good,The Housemartins,167.4ø
Tra me e me,I Grandi Successi: Pierangelo Bertoli,Pierangelo Bertoli,272.3ø
Let's Go,Let's Go,Fast Eddie,310.3ø
Hip House,Hip House,Fast Eddie,270.8ø
Acid Thunder,Acid Thunder,Fast Eddie,274.1ø
Time After Time,A Gift Of Love,Tuck & Patti,303.7ø
Tears Of Joy,Tears Of Joy,Tuck & Patti,236.3ø
Takes My Breath Away,Pure Tuck & Patti,Tuck & Patti,297.4ø
Love Is The Key,Tears Of Joy,Tuck & Patti,228.6ø
Better Than Anything,As Time Goes By,Tuck & Patti,196.5ø
Later,Liefde_ Leven_ Geven,Andre Hazes,256.7ø
Monos,Best of Yma Sumac,Yma Sumac,159.8ø
Santamaria,Santamaria,Oliver Onions,244.1ø
Flying Through The Air,Bud Spencer & Terence Hill,Various Artist,174.9ø
Hula Love,US - October - 1957,Buddy Knox,139.2ø
If You Gotta Make A Fool Of Somebody,Freddie & The Dreamers - Their Very Best,Freddie & The Dreamers,118.3ø
TOIVOTAAN_ TOIVOTAAN,Matkiva Kulkuri,Jope Ruonansuu,195.0ø
S.T.T.-RAP,Matkiva Kulkuri,Jope Ruonansuu,273.8ø
MINUSTAKO MINISTERI,Matkiva Kulkuri,Jope Ruonansuu,138.2ø
MERIPOIKAMIES,Matkiva Kulkuri,Jope Ruonansuu,177.1ø
MATKIVA KULKURI,Matkiva Kulkuri,Jope Ruonansuu,263.6ø
LA BAMBA,Matkiva Kulkuri,Jope Ruonansuu,125.5ø
IMATRAN TILTA,Matkiva Kulkuri,Jope Ruonansuu,228.3ø
HUTTUSEN PAAVO,Matkiva Kulkuri,Jope Ruonansuu,176.0ø
ENSKA JA HANSKI,Matkiva Kulkuri,Jope Ruonansuu,160.1ø
EDUSKUNTATALON OVI,Matkiva Kulkuri,Jope Ruonansuu,133.2ø
Calling You,Bagdad Cafe,Jevetta Steele,324.1ø
Right Or Wrong,Death-R-Us,Battalion Of Saints,99.0ø
It Should Have Been Me,Party Triple Set,Yvonne Fair,204.5ø
Zimbabwae,Union,Toni Childs,380.8ø
Where's The Ocean,Union,Toni Childs,282.7ø
Tin Drum,Union,Toni Childs,342.3ø
Let The Rain Come Down,Union,Toni Childs,291.0ø
Hush,Union,Toni Childs,244.0ø
Dreamer,Union,Toni Childs,301.0ø
Ballad,Side Trax,Pailhead,232.8ø
Tell That Girl To Shut Up,Baby I Don't Care - The Collection,Transvision Vamp,184.8ø
Sister Moon,Baby I Don't Care - The Collection,Transvision Vamp,262.0ø
