Don't Fall In Love With A Dreamer,Duets,Kenny Rogers & Kim Carnes,220.3ø
Never Let Me Go,The Essential,The Black Sorrows,243.5ø
They Call Me Big Mama,Hound Dog,Big Mama Thornton,123.7ø
Boy Meets Horn,Martinique,Duke Ellington_ His Famous Orchestra,282.3ø
Venner,40+ [2cd],Halvdan Sivertsen,195.6ø
Shalimar,Sunstorm - Best Of! Vol. 2,Software,449.7ø
Land Of Fantasy,Sunstorm - Best Of! Vol. 2,Software,360.1ø
Givenchy III,Sunstorm - Best Of! Vol. 2,Software,261.0ø
Tracy,Tracy - The Very Best Of The Cufflinks,The Cufflinks,134.6ø
Guided Missiles,Out On The Streets,The Cufflinks,167.6ø
Lotus,Homeland,Eric Tingstad|Nancy Rumbel,330.9ø
Fragile Majesty,The Narada Wilderness Collection,Eric Tingstad|Nancy Rumbel,358.8ø
Clancy's Heart,Homeland,Eric Tingstad|Nancy Rumbel,315.1ø
Turpakeikka,Laki Ja Jarjestys,Ne Luumaet,146.6ø
Teinimutanttininjakilpikonna,Laki Ja Jarjestys,Ne Luumaet,138.9ø
Sattuu,Laki Ja Jarjestys,Ne Luumaet,198.0ø
Leena on liimanhaistaja,Laki Ja Jarjestys,Ne Luumaet,115.7ø
Xperimetal,Verticle Invader,Alex Masi,298.0ø
Trapped In A Warm Feeling,Verticle Invader,Alex Masi,213.8ø
Silver Memories,Verticle Invader,Alex Masi,254.9ø
Rock Of Changes,Verticle Invader,Alex Masi,231.1ø
Rhythm Workers,Verticle Invader,Alex Masi,212.8ø
Quick Escape,Verticle Invader,Alex Masi,184.5ø
Instant Army,Verticle Invader,Alex Masi,190.1ø
Finn (She's So Pink),Verticle Invader,Alex Masi,274.5ø
Dance Of Floda,Verticle Invader,Alex Masi,169.6ø
A Tribute To T.B.,Verticle Invader,Alex Masi,293.4ø
Soll Mich Lieben Wer Will,Ich Bereue Nichts - The Best Of Ina Deter,Ina Deter,242.6ø
Hilter (Dub Mix),Stoneman - EP,Hilt,292.6ø
B.I.T.D. (Beer In The District),Stoneman - EP,Hilt,340.2ø
Solitary,Tasavallan presidentti,Tasavallan Presidentti,222.5ø
Tout le monde y pense,Bobino 2001,Isabelle Aubret,278.0ø
You're Young,Listen On - The Best Of The Railway Children,The Railway Children,271.0ø
Something So Good,Listen On - The Best Of The Railway Children,The Railway Children,216.5ø
Music Stop,Listen On - The Best Of The Railway Children,The Railway Children,208.0ø
Give It Away,Listen On - The Best Of The Railway Children,The Railway Children,188.3ø
Collide,Listen On - The Best Of The Railway Children,The Railway Children,257.4ø
Louise,Hollands Glorie,Circus Custers,194.8ø
Ik Hou Van Alles,Hollands Glorie,Circus Custers,330.6ø
Zombie Holocaust,Mean,Filthy Christians,59.3ø
Your Goals,Mean,Filthy Christians,127.7ø
Who Cares,Mean,Filthy Christians,50.7ø
The Disease,Mean,Filthy Christians,149.7ø
Party And Fight For Your Right,Mean,Filthy Christians,200.0ø
Old But Not So Wise,Mean,Filthy Christians,116.2ø
Obey To Get Independence,Mean,Filthy Christians,213.7ø
