Good Time Liberator,Ruby_ Don't Take Your Love To Town & Other Favorites (Digitally Remastered),Kenny Rogers & The First Edition,135.0ø
You Can Do Magic,Wizards Of Waverly Place,Drew Seeley,213.6ø
This is How It Goes (Kaskade's Grand Club Edit),The Grand,Haley,300.0ø
Sunny,Combo,Giuliano Palma & The Bluebeaters,177.1ø
Solo Te_ Solo Me_ Solo Noi,Combo,Giuliano Palma & The Bluebeaters,194.1ø
She's Not There,Combo,Giuliano Palma & The Bluebeaters,192.4ø
Semplice,Combo,Giuliano Palma & The Bluebeaters,210.1ø
Quanti Ricordi,Combo,Giuliano Palma & The Bluebeaters,211.7ø
Per Una Lira,Combo,Giuliano Palma & The Bluebeaters,178.1ø
Love Potion N 9,Combo,Giuliano Palma & The Bluebeaters,165.7ø
Lonely Summer Nights,Combo,Giuliano Palma & The Bluebeaters,179.3ø
L'Appuntamento,Combo,Giuliano Palma & The Bluebeaters,258.6ø
Il Cuore E' Uno Zingaro,Combo,Giuliano Palma & The Bluebeaters,194.9ø
Dentro Tutti I Miei Sogni,Combo,Giuliano Palma & The Bluebeaters,206.1ø
Combo,Combo,Giuliano Palma & The Bluebeaters,61.8ø
A Transylvanian Lulluby,Combo,Giuliano Palma & The Bluebeaters,80.4ø
Story,Remind Me Where The Light Is,Great Northern,234.6ø
Stop,Remind Me Where The Light Is,Great Northern,205.6ø
Numbers,Remind Me Where The Light Is,Great Northern,291.7ø
New Tricks,Remind Me Where The Light Is,Great Northern,200.9ø
Houses,Remind Me Where The Light Is,Great Northern,257.3ø
Fingers,Remind Me Where The Light Is,Great Northern,231.3ø
Driveway,Remind Me Where The Light Is,Great Northern,264.0ø
33,Remind Me Where The Light Is,Great Northern,174.8ø
You Were My Everything,Broken Heart Syndrome,Two Minute Silence,239.4ø
With Deepest Regrets,Broken Heart Syndrome,Two Minute Silence,197.3ø
Nothing Is Forever,Broken Heart Syndrome,Two Minute Silence,235.8ø
Love Will Always Make Me Fall,Broken Heart Syndrome,Two Minute Silence,212.2ø
Thrashburn,Night Storms Hailfire,Arise And Ruin,185.2ø
The Long Haul,Night Storms Hailfire,Arise And Ruin,426.6ø
The Aftermath,Night Storms Hailfire,Arise And Ruin,218.1ø
Night Storms Hailfire,Night Storms Hailfire,Arise And Ruin,219.2ø
In Death,Night Storms Hailfire,Arise And Ruin,227.0ø
Forever Damned,Night Storms Hailfire,Arise And Ruin,154.8ø
Doom Sentence,Night Storms Hailfire,Arise And Ruin,189.8ø
Brothers In Arms,Night Storms Hailfire,Arise And Ruin,211.8ø
Bring The Rain,Night Storms Hailfire,Arise And Ruin,179.7ø
A Heavy Dose,Night Storms Hailfire,Arise And Ruin,306.3ø
