Jugband Blues (1992 Digital Remaster),A Saucerful Of Secrets,Pink Floyd,180.1ø
Magic Bus,The Who- The Greatest Hits & More,The Who,196.3ø
December Day,Yesterday's Wine,Willie Nelson,137.0ø
The Touchables (All Of Us),All Of Us,Nirvana,176.6ø
Rainbow Chaser,Forever Changing - An Introduction To Nirvana,Nirvana,170.8ø
His Father Wore Long Hair,What A Wonderful World,Louis Armstrong,152.5ø
When You Wish Upon A Star,The Magic Of Disney,Louis Armstrong,264.7ø
What A Wonderful World,Classics In The Key Of G,Louis Armstrong with Kenny G,182.0ø
The Creator Has A Master Plan (Peace),What A Wonderful World,Louis Armstrong,250.2ø
Gypsy Eyes,Electric Ladyland,The Jimi Hendrix Experience,223.7ø
Crosstown Traffic,Electric Ladyland,The Jimi Hendrix Experience,146.6ø
Do It Again,Original Hits - Number 1s,The Beach Boys,134.3ø
You Met Your Match,For Once In My Life,Stevie Wonder,160.0ø
Shoo-Be-Doo-Be-Doo-Da-Day,The Complete Stevie Wonder,Stevie Wonder,292.0ø
I Don't Know Why,The Complete Stevie Wonder,Stevie Wonder,168.4ø
For Once In My Life,The Complete Stevie Wonder,Stevie Wonder,167.3ø
Alfie,The Complete Stevie Wonder,Stevie Wonder,308.2ø
No Place To Go,THE BEST OF FLEETWOOD MAC,Fleetwood Mac,202.2ø
Looking For Somebody,The Pious Bird Of Good Omen,Fleetwood Mac,173.6ø
I Loved Another Woman,Black Magic Woman - The Best Of,Fleetwood Mac,174.9ø
Albatross,Ultimate 60s,Fleetwood Mac,190.7ø
You Better Sit Down Kids,Gold,Cher,250.1ø
Sing For Your Supper,The Best Of Cher (The Imperial Recordings: 1965-1968),Cher,156.7ø
I Will Wait For You,The Best Of Cher (The Imperial Recordings: 1965-1968),Cher,195.8ø
What Did You Do To My Life? (Remastered Album Version),Neil Young,Neil Young,147.0ø
I've Loved Her So Long,Neil Young Archives Volume I [1963 - 1972],Neil Young,164.2ø
All Because I Love You,This Old Heart Of Mine & Soul On The Rocks,The Isley Brothers,155.2ø
Chain Of Fools,Respect - The Very Best Of Aretha Franklin,Aretha Franklin,163.0ø
You Know Who I Am,Songs From A Room,Leonard Cohen,209.1ø
Story Of Isaac,Songs From A Room,Leonard Cohen,215.6ø
Dress Rehearsal Rag,Songs of L. Cohen / Songs of love and hate / New skin for the old ceremony,Leonard Cohen,362.7ø
Bird On The Wire,Field Commander Cohen: Tour of 1979,Leonard Cohen,310.0ø
Sweet Caroline,Hot August Nights II,Neil Diamond,229.0ø
If I Never Knew Your Name,Play Me: The Complete Uni Studio Recordings...Plus!,Neil Diamond,196.0ø
Glory Road,Play Me: The Complete Uni Studio Recordings...Plus!,Neil Diamond,200.2ø
Dig In,Play Me: The Complete Uni Studio Recordings...Plus!,Neil Diamond,161.6ø
Long Gone,Play Me: The Complete Uni Studio Recordings...Plus!,Neil Diamond,198.4ø
On Green Dolphin Street (Medley) (1999 Digital Remaster),30 By Ella,Ella Fitzgerald,427.2ø
Four Or Five Times (Medley) (1999 Digital Remaster),30 By Ella,Ella Fitzgerald,380.7ø
