Aria,Chloe',Fausto Papetti,168.2ø
Maria Luisa,El Compositor Que Canta,Ismael Miranda,286.4ø
La Cosa No Es Como Antes,El Compositor Que Canta,Ismael Miranda,207.7ø
Tako ti je mala moja kad ljubi bosanac,The Ultimate Collection,Bijelo Dugme,232.8ø
Hop-cup,The Ultimate Collection,Bijelo Dugme,139.0ø
Convoy,True Country,C.W. McCall,225.4ø
Prega Crest,Eppure Soffia,Pierangelo Bertoli,214.7ø
La Bala,Eppure Soffia,Pierangelo Bertoli,184.6ø
TWO FACES HAVE I,"LOU CHRISTIE ""LIVE FROM THE BOTTOM LINE",Lou Christie,425.6ø
Tahitian Sunset,Two In One - That Latin Feeling/Tropical Sunrise,Bert Kaempfert,153.8ø
The Proud One,Live in Las Vegas,The Osmonds,113.0ø
Shackin' Up,The Greatest Hits,Barbara Mason,243.7ø
I'm In Love With You,The Greatest Hits,Barbara Mason,254.5ø
From His Woman To You,Soul and Blues Collection,Barbara Mason,214.0ø
Moviestar,Top Of The Pops - One Hit Wonders,Harpo,201.2ø
Lamento Borincano,Victor Jara-Presente,Victor Jara,250.1ø
Canto Libre,Canto Libre,Victor Jara,294.8ø
Shame_ Shame_ Shame (Vocal Version),Shame Shame Shame,Shirley & Company,245.8ø
Shame_ Shame_ Shame (Instrumental Version),Shame Shame Shame,Shirley & Company,313.6ø
Love Is (LP Version),Shame Shame Shame,Shirley & Company,154.5ø
Keep On Rolling On (LP Version),Shame Shame Shame,Shirley & Company,218.2ø
Jim Doc Kay (aka Jim Doc Cain) (LP Version),Shame Shame Shame,Shirley & Company,235.5ø
I Guess Things Have To Change (LP Version),Shame Shame Shame,Shirley & Company,215.3ø
I Gotta Get Next To You (LP Version),Shame Shame Shame,Shirley & Company,233.0ø
Disco Shirley (LP Version),Shame Shame Shame,Shirley & Company,196.9ø
Cry_ Cry_ Cry (Vocal Version),Shame Shame Shame,Shirley & Company,188.0ø
Cry_ Cry_ Cry (Instrumental Version),Shame Shame Shame,Shirley & Company,203.1ø
Another Tear Will Fall (LP Version),Shame Shame Shame,Shirley & Company,163.5ø
Chains of Love,Valentines Day - Songs About Love,The Silver Convention,239.8ø
You're Just the Right Size,Anthology (Salsoul) Vol.2,The Salsoul Orchestra,280.1ø
Tangerine,Anthology (Salsoul) Vol.2,The Salsoul Orchestra,280.9ø
Tale of Three Cities,Anthology (Salsoul) Vol.2,The Salsoul Orchestra,364.5ø
Salsoul Rainbow,Anthology (Salsoul) Vol.2,The Salsoul Orchestra,246.6ø
Salsoul Hustle,Anthology (Salsoul) Vol.2,The Salsoul Orchestra,317.1ø
Get Happy,Anthology (Salsoul) Vol.2,The Salsoul Orchestra,186.9ø
Woman (Alternate Take),Play Don't Worry,Mick Ronson,210.9ø
Woman,Play Don't Worry,Mick Ronson,208.9ø
This Is for You,Play Don't Worry,Mick Ronson,268.7ø
Stone Love (Soul Love),Play Don't Worry,Mick Ronson,207.0ø
Seven Days (Original B-Side),Play Don't Worry,Mick Ronson,158.9ø
Seven Days (Alternate Take),Play Don't Worry,Mick Ronson,360.6ø
Play Don't Worry,Give 'Em Hell,Mick Ronson,189.8ø
Life on Mars?,Play Don't Worry,Mick Ronson,254.0ø
Hazy Days,Play Don't Worry,Mick Ronson,266.2ø
Girl Can't Help It,Play Don't Worry,Mick Ronson,175.4ø
Empty Bed (Io Me Ne Andrei),Play Don't Worry,Mick Ronson,312.0ø
Billy Porter,Play Don't Worry,Mick Ronson,214.8ø
Angel No. 9,Play Don't Worry,Mick Ronson,337.9ø
Waltz For Interbeings (2004 Digital Remaster),Attic Thoughts,Bo Hansson,206.6ø
Waiting (2004 Digital Remaster),Attic Thoughts,Bo Hansson,454.3ø
Time For Great Achievements (2004 Digital Remaster),Attic Thoughts,Bo Hansson,191.3ø
Time And Space (2004 Digital Remaster),Attic Thoughts,Bo Hansson,99.8ø
The Hybrills (2004 Digital Remaster),Attic Thoughts,Bo Hansson,84.6ø
The Crystal Suite,Attic Thoughts,Bo Hansson,381.3ø
Rabbit Music (2004 Digital Remaster),Attic Thoughts,Bo Hansson,389.9ø
Day And Night (2004 Digital Remaster),Attic Thoughts,Bo Hansson,273.1ø
Attic Thoughts (2004 Digital Remaster),Attic Thoughts,Bo Hansson,333.1ø
A Happy Prank (2004 Digital Remaster),Attic Thoughts,Bo Hansson,196.3ø
Where Do You Go (When You Need A Hole To Crawl In),Ghosts,Strawbs,182.6ø
The Life Auction,NY '75,The Strawbs,406.6ø
Starshine / Angel Wine,Ghosts,Strawbs,315.2ø
Remembering,Ghosts,Strawbs,54.8ø
Little Sleepy,Nomadness,Strawbs,248.2ø
Hanging In The Gallery,NY '75,The Strawbs,272.7ø
Back On The Farm,Nomadness,Strawbs,165.1ø
Absent Friend (How I Need You),Halcyon Days,Strawbs,275.5ø
Shame On The World,I Only Have Eyes For You / Shame On The World,The Main Ingredient,251.5ø
Over You,I Only Have Eyes For You / Shame On The World,The Main Ingredient,258.6ø
Old Greyhound,I Only Have Eyes For You / Shame On The World,The Main Ingredient,243.7ø
Lillian,I Only Have Eyes For You / Shame On The World,The Main Ingredient,233.3ø
Let Me Prove My Love To You,I Only Have Eyes For You / Shame On The World,The Main Ingredient,219.1ø
Jamaica (Let Me Go Home),I Only Have Eyes For You / Shame On The World,The Main Ingredient,196.9ø
If I'm Gonna Be Sad,I Only Have Eyes For You / Shame On The World,The Main Ingredient,240.4ø
You're A Sweetheart (Live),Finally,Betty Carter,282.6ø
Who What Why Where When  (LP Version),'Round Midnight,Betty Carter,193.3ø
When I Fall In Love  (LP Version),'Round Midnight,Betty Carter,183.6ø
Theme From Dr. Kildare (Three Stars Will Shine Tonight)  (LP Version),'Round Midnight,Betty Carter,165.9ø
Shine On Harvest Moon   (Single/LP Version),'Round Midnight,Betty Carter,130.7ø
Girl Talk (Live),Finally,Betty Carter,348.5ø
Everybody's Somebody's Fool  (LP Version),'Round Midnight,Betty Carter,166.2ø
Ego (Live),Finally,Betty Carter,205.9ø
All Through The Day (Live),Finally,Betty Carter,519.6ø
Yellow Fly,Velvet Donkey,Ivor Cutler,96.7ø
The Stranger,Velvet Donkey,Ivor Cutler,358.4ø
Sleepy Old Snake,Velvet Donkey,Ivor Cutler,153.3ø
Oho My Eyes,Velvet Donkey,Ivor Cutler,89.4ø
El Cantante Y La Orquesta,Live at Roseland,Angel Canales,356.0ø
You Don't Want To Believe It,Get Down,Joe Simon,197.0ø
Music In My Bones,Get Down,Joe Simon,308.3ø
Fire Burning,Get Down,Joe Simon,205.1ø
Wombling White Tie And Tails,The Very Best Of The Wombles,Wombles,212.8ø
Wombles On Parade,The Best Wombles Album So Far Volume One,Wombles,224.3ø
To Wimbledon With Love,The Best Wombles Album So Far Volume One,Wombles,229.1ø
The Myths And Legends Of King Merton Womble And His Journey To The Centre Of The Earth,The Very Best Of The Wombles,Wombles,327.2ø
Superwomble,The Very Best Of The Wombles,Wombles,204.1ø
Nashville Wombles,The Best Wombles Album So Far Volume One,Wombles,296.4ø
