Manzanillo,Cuba Classics 2: Dancing With the Enemy,Orquesta Original De Manzanillo,286.5ø
P'ra Dizer Adeus (To Say Goodbye),The Bossa Nova Years,Charlie Byrd,197.2ø
One Note Samba,The Bossa Nova Years,Charlie Byrd,286.2ø
O Nosso Amor,The Bossa Nova Years,Charlie Byrd,235.9ø
American Generation,American Generation,Ritchie Family,295.6ø
We Mourn The Loss Of Sir Murchison Fletcher,Calypsos From Trinidad - 1930s,Lord Executor,177.9ø
Spacebore,Belinda Backwards,A C Temple,199.4ø
Skyhooks,Belinda Backwards,A C Temple,203.5ø
Silver Swimmer,Belinda Backwards,A C Temple,196.9ø
P2,Belinda Backwards,A C Temple,136.9ø
Lifesize,Belinda Backwards,A C Temple,193.0ø
Half-Angel,Belinda Backwards,A C Temple,216.4ø
Glitterhall,Belinda Backwards,A C Temple,360.0ø
Girlseye,Belinda Backwards,A C Temple,251.0ø
Come Sunrise,Belinda Backwards,A C Temple,275.3ø
The Champ,Moore Makes 4,Ray Brown Trio | Ralph Moore,147.0ø
Stars Fell On Alabama,Moore Makes 4,Ray Brown Trio | Ralph Moore,312.3ø
Squatty Roo,Moore Makes 4,Ray Brown Trio | Ralph Moore,284.1ø
SOS,Moore Makes 4,Ray Brown Trio | Ralph Moore,284.9ø
Ralph's Boogie,Moore Makes 4,Ray Brown Trio | Ralph Moore,268.3ø
Quasimodo,Moore Makes 4,Ray Brown Trio | Ralph Moore,211.0ø
Polka Dots And Moonbeams,Moore Makes 4,Ray Brown Trio | Ralph Moore,463.8ø
Like Someone In Love,Moore Makes 4,Ray Brown Trio | Ralph Moore,359.0ø
Everything I Love,Moore Makes 4,Ray Brown Trio | Ralph Moore,375.3ø
O Pato,The Bossa Nova Years,Charlie Byrd,211.4ø
Dindi,The Bossa Nova Years,Charlie Byrd,223.8ø
