Breaking Up Is Hard To Do,The Show Goes On - The Very Best Of...,Neil Sedaka,139.1ø
Just For Tonight,Greatest Hits - The Best of Henry Mancini,Henry Mancini,123.6ø
What Did The Deep Sea Say?,My Dusty Road,Woody Guthrie,179.1ø
We Shall Be Free,This Land Is Your Land,Woody Guthrie,184.0ø
John Henry,My Dusty Road,Woody Guthrie,159.7ø
Hard Travelin',900 Miles,Woody Guthrie,132.7ø
Brown Eyes,Woody Guthrie Sings Folk Songs,Woody Guthrie,181.2ø
Boll Weevil Blues (Boll Weevil),Woody Guthrie Sings Folk Songs,Woody Guthrie,194.4ø
Special rider Blues,Delta Blues,Son House,186.8ø
There Is No Greater Love,Inception,McCoy Tyner,380.6ø
Sunset,Inception,McCoy Tyner,282.3ø
Effendi,Soliloquy,McCoy Tyner,241.6ø
You Do Something To Me,The Bridge,Sonny Rollins,408.6ø
L'Aventure,Raconte Aux Enfants,Jacques Brel,195.9ø
Chanson Sans Paroles,Le Plat Pays,Jacques Brel,169.2ø
S.O.S,Full House,Wes Montgomery,301.8ø
Full House,Full House,Wes Montgomery,549.5ø
Come Rain Or Come Shine,Full House [Keepnews Collection],Wes Montgomery,417.8ø
Cariba,Full House [Keepnews Collection],Wes Montgomery,581.2ø
Enfant  (LP Version),Ornette On Tenor,Ornette Coleman,388.7ø
Venus,Walk Don't Run 2000,The Ventures,194.8ø
The Twomp,The Very Best Of The Ventures,The Ventures,139.8ø
I Get Evil,New Orleans Heat,Albert King,239.2ø
Soldier Boy,Dedicated To The One I Love,Shirelles,163.4ø
Baby it's you,Arnie's Record Store - Songs To Sell Volume 11,The Shirelles,166.2ø
