In Love In Vain,Love Songs,Nina Simone,150.8ø
You're All I Need To Get By,You're All I Need To Get By,Diana Ross,204.7ø
Where There Was Darkness,Diana Ross,Diana Ross,201.9ø
These Things Will Keep Me Loving You,The Complete Motown Singles Vol. 10: 1970,Diana Ross,190.4ø
Something On My Mind,Diana Ross,Diana Ross,160.0ø
Reach Out And Touch (Somebody's Hand),Motown Chartbusters Vol 4,Diana Ross,180.2ø
I'm Still Waiting,Last Dance,Diana Ross,219.6ø
How About You,The Complete Motown Singles Vol. 10: 1970,Diana Ross,167.8ø
Come Together,Everything Is Everything Expanded Edition,Diana Ross,400.7ø
Baby It's Love,Everything Is Everything Expanded Edition,Diana Ross,189.9ø
Ain't No Mountain High Enough,'70s Pop #1's,Diana Ross,248.0ø
Nous Les Jericho,Cannabis,Michel Colombier,179.1ø
Cannabis-Bis Final,Cannabis,Jean-Claude Vannier,105.7ø
Could It Be Magic,The Greatest Songs Of The Seventies,Barry Manilow,302.9ø
Nobody Loves Me But My Mother,Live At San Quentin,B.B. King,491.0ø
What Is Life,Away We Go,George Harrison,264.3ø
Let It Down,All Things Must Pass,George Harrison,235.5ø
Gun,Have Mercy -  His Complete Chess Recordings 1969 - 1974,Chuck Berry,127.9ø
Trial Before Pilate (Including The 39 Lashes),Jesus Christ Superstar,Cast Of Jesus Christ Superstar | Soundtrack,362.6ø
Wholesale Love,Tell The Truth,Otis Redding,148.8ø
Tell The Truth,Pure Southern Soul,Otis Redding,186.9ø
Swingin' On A String,Tell The Truth,Otis Redding,171.9ø
Johnny's Heartbreak,Tell The Truth,Otis Redding,149.7ø
I Got The Will,Tell The Truth,Otis Redding,171.5ø
Give Away None Of My Love,Tell The Truth,Otis Redding,174.4ø
Demonstration,Tell The Truth,Otis Redding,144.9ø
Sweet Dreams,Yesterdays,Yes,230.9ø
Out Of The Blue,Verve Jazz Masters 21: George Benson,George Benson,198.0ø
Stone Crazy,Blues Legends,B.B. King & Friends,450.3ø
First Time I Met The Blues,Live! The Real Deal,Buddy Guy,423.4ø
L'Herbe Tendre,Cannabis,Michel Colombier,135.5ø
You're So Good To Me (LP Version),Changes,The Monkees,154.0ø
Ticket On A Ferry Ride (LP Version),Changes,The Monkees,209.1ø
Oh My My,Changes,The Monkees,181.5ø
Take A Pebble,Then & Now,Emerson_ Lake & Palmer,428.5ø
Lucky Man,ROCK & POP GIANTS,Emerson_ Lake & Palmer,160.0ø
Ride A White Swan,Classic T Rex,T. Rex,132.9ø
Beltane Walk,Across The Airwaves,T. Rex,132.0ø
Suite Sioux,Red Clay,Freddie Hubbard,519.1ø
Up The Ladder To The Roof,The Supremes HIts,The Supremes,191.5ø
Stoned Love,The Supremes HIts,The Supremes,174.5ø
Wolfpack,Barrett,Syd Barrett,221.6ø
Wined And Dined,Opel,Syd Barrett,183.6ø
Terrapin,Original John Peel Session: 24th February 1970,Syd Barrett,188.1ø
