She Acts Like a Woman Should,My Heart Belongs To Daddy,Marilyn Monroe,164.5ø
Strangeways,The Scorpions/ Rainbow/ Deep Purple,Deep Purple,358.8ø
Mad Dog,The Scorpions/ Rainbow/ Deep Purple,Deep Purple,274.4ø
These 'n' That 'n' Those,The Incomparable Volume 1,Billie Holiday,183.2ø
He's Funny That Way,Broadcast Performances Vol. 1,Billie Holiday,190.8ø
Cheek To Cheek,Billie Holiday,Billie Holiday,212.0ø
You Keep Me Hangin' On,Anthology,Diana Ross & The Supremes,182.9ø
Shockwaves,Red Hot Rhythm And Blues,Diana Ross,227.5ø
Shine,Red Hot Rhythm And Blues,Diana Ross,211.7ø
The Breakthrough,Bigger & Deffer,LL Cool J,244.3ø
On The Ill Tip,Bigger & Deffer,LL Cool J,31.8ø
My Rhyme Ain't Done,Bigger & Deffer,LL Cool J,225.5ø
Kanday,Bigger & Deffer,LL Cool J,239.6ø
I Need Love,Bigger & Deffer,LL Cool J,322.8ø
Go Cut Creator Go,Bigger & Deffer,LL Cool J,237.0ø
Get Down,Bigger & Deffer,LL Cool J,203.0ø
One More Time,Swing Street,Barry Manilow,251.6ø
Violence And Bloodshed  (LP Version),Fighting The World,Manowar,240.6ø
Master Of Revenge (LP Version),Fighting The World,Manowar,94.2ø
Holy War (LP Version),Fighting The World,Manowar,284.6ø
Fighting The World (LP Version),Fighting The World,Manowar,230.6ø
Drums Of Doom (LP Version),Fighting The World,Manowar,75.3ø
Defender (LP Version),Fighting The World,Manowar,362.4ø
Carry On  (LP Version),Fighting The World,Manowar,252.7ø
Blow Your Speakers (LP Version),Fighting The World,Manowar,219.8ø
Black Wind_ Fire And Steel (LP Version),Fighting The World,Manowar,315.7ø
Sneakin' Around,The Great B.B. King,B.B. King,179.8ø
Mistreated Woman,Best of The Big Boss Blues,B.B. King,171.2ø
Broken Heart,Definitive Greatest Hits,B.B. King,165.7ø
Kill As One,Sonic German Beatdown (Live In Germany),DEATH ANGEL,592.0ø
Who's The Fool,The Right Night And Barry White,Barry White,398.0ø
The Right Night,The Right Night And Barry White,Barry White,393.6ø
Share,The Right Night And Barry White,Barry White,426.3ø
Love Is In Your Eyes,The Right Night And Barry White,Barry White,442.8ø
As Time Goes By,The Right Night And Barry White,Barry White,352.1ø
Zig Zag (2004 Digital Remaster),Cloud Nine,George Harrison,165.1ø
Wreck Of The Hesperus (2004 Digital Remaster),Cloud Nine,George Harrison,212.3ø
When We Was Fab (2004 Digital Remaster),Cloud Nine,George Harrison,238.8ø
This Is Love (2004 Digital Remaster),Cloud Nine,George Harrison,229.3ø
Someplace Else (2004 Digital Remaster),Cloud Nine,George Harrison,231.1ø
Shanghai Surprise (2004 Digital Remaster),Cloud Nine,George Harrison,308.6ø
Just For Today (2004 Digital Remaster),Cloud Nine,George Harrison,244.7ø
Got My Mind Set On You (Extended Version),Cloud Nine,George Harrison,316.6ø
Got My Mind Set On You (2004 Digital Remaster),Cloud Nine,George Harrison,233.5ø
Fish On The Sand (2004 Digital Remaster),Cloud Nine,George Harrison,204.0ø
Devil's Radio (2004 Digital Remaster),Cloud Nine,George Harrison,233.2ø
Breath Away From Heaven (2004 Digital Remaster),Cloud Nine,George Harrison,215.0ø
Dressed To Kill,The Very Best Of,Nazareth,213.3ø
In the Wee Wee Hours,All Around the Dance Floor,Chuck Berry,186.1ø
I'm Through With Love,Hail! Hail! Rock 'N' Roll,Chuck Berry,171.9ø
Tu Quieres Volver,Greatest Hits,Gipsy Kings,194.9ø
Quiero Saber,Gipsy Kings / Mosaique / Este mundo,Gipsy Kings,245.9ø
Moorea,Gipsy Kings,Gipsy Kings,241.9ø
Inspiration,Love Songs,Gipsy Kings,223.6ø
Duende,Gipsy Kings / Mosaique / Este mundo,Gipsy Kings,257.8ø
Bamboleo,La Bamba,Gypsy Kings,243.1ø
Lester Leaps In,Satch And Josh,Count Basie | Oscar Peterson,244.6ø
Pull My Strings,Give Me Convenience or Give Me Death,Dead Kennedys,352.7ø
Night of the Living Rednecks,Give Me Convenience or Give Me Death,Dead Kennedys,310.1ø
Insight,Give Me Convenience or Give Me Death,Dead Kennedys,99.8ø
I fought the law,Play new rose for me,Dead Kennedys,140.8ø
Buzzbomb From Pasadena,Give Me Convenience or Give Me Death,Dead Kennedys,143.0ø
What You're Doing,Exiles,Dan Fogelberg,294.6ø
The Way It Must Be,Exiles,Dan Fogelberg,261.4ø
She Don't Look Back,The Very Best Of Dan Fogelberg,Dan Fogelberg,285.4ø
Seeing You Again,Love Songs,Dan Fogelberg,302.3ø
Lonely In Love,Dan Fogelberg Live: Greetings From The West,Dan Fogelberg,355.3ø
Hearts In Decline,Exiles,Dan Fogelberg,192.6ø
Show No Mercy,The Best Of The Best,W.A.S.P.,217.8ø
M-O-N-E-Y,Live In Texas,Lyle Lovett,209.9ø
I'll Give You Money,Shine On,Peter Frampton,279.0ø
Throw The 'R' Away,This Is The Story,The Proclaimers,165.1ø
The Part That Really Matters,This Is The Story,The Proclaimers,161.9ø
The Joyful Kilmarnock Blues,This Is The Story,The Proclaimers,184.4ø
Incommunicado (Live),Thieving Magpie (La Gazza Ladra),Marillion,323.3ø
Incommunicado (Alternative Version) (1999 Digital Remaster),Clutching At Straws,Marillion,357.8ø
Hotel Hobbies (1999 Digital Remaster),Clutching At Straws,Marillion,215.4ø
Want you more,XXX,Miguel Bose,294.9ø
The eighth wonder,XXX,Miguel Bose,305.8ø
Vocation,Harry Connick_ Jr.,Harry Connick_ Jr.,306.4ø
Love Is Here To Stay,Harry Connick_ Jr.,Harry Connick_ Jr.,252.4ø
E,Harry Connick_ Jr.,Harry Connick_ Jr.,246.3ø
Romantic Warriors,Romantic Dreams,Modern Talking,238.0ø
Locomotion Tango,All The Best,Modern Talking,230.2ø
Like A Hero,Romantic Warriors,Modern Talking,226.2ø
Jet Airliner,All The Best,Modern Talking,354.7ø
Arabian Gold,Romantic Warriors,Modern Talking,221.4ø
Symphony No. 5 in C-Sharp Minor: IV. Adagietto,50 Essential Classical Film Moments,Gustav Mahler_ Moscow RTV Large Symphony Orchestra Kyril Kondrashin_ Various Artist,505.3ø
Boyz-N-The-Hood,Niggas With Attitude - Chapter 2,N.W.A ft. Eazy-E,338.2ø
