What Can I Do? (Remix),Bootlegs And B-Sides (Explicit),Ice Cube,265.6,0.839,0.558,1994ø
Natural Born Killaz,Family Values Tour '98,Ice Cube,186.9,0.839,0.558,1997ø
It Was A Good Day (Explicit) (Album Version),The Essentials,Ice Cube,260.2,0.839,0.558,2008ø
It Was A Good Day,Hip Hop - The Collection 3,Ice Cube,252.0,0.839,0.558,1992ø
Givin' Up The Nappy Dug Out,The Essentials,Ice Cube,253.3,0.839,0.558,2008ø
Cold Places,The Essentials,Ice Cube,252.8,0.839,0.558,2008ø
Why We Thugs,Why We Thugs,Ice Cube,224.6,0.839,0.558,2006ø
War And Peace (2008 Digital Remaster),The Essentials,Ice Cube,178.3,0.839,0.558,2008ø
Rollin' Wit The Lench Mob,The Essentials,Ice Cube,224.1,0.839,0.558,1990ø
Dead Homiez,The Essentials,Ice Cube,233.0,0.839,0.558,1990ø
Anybody Seen The Popo's?!,XXX: State Of The Union,Ice Cube,237.0,0.839,0.558,2007ø
A Gangsta's Fairytale (2008 Digital Remaster),The Essentials,Ice Cube,181.4,0.839,0.558,2008ø
A Bird In The Hand (2008 Digital Remaster),The Essentials,Ice Cube,132.2,0.839,0.558,2008ø
