Walking In Dub,Soul Kitchen (The Original Motion Picture Soundtrack),Burning Spear,146.9,0.674,0.465,2009ø
Tumble Down,Jah Kingdom,Burning Spear,217.9,0.674,0.465,1991ø
Throw Down Your Arms,Harder Than The Best,Burning Spear,240.9,0.674,0.465,1977ø
Them A Come,Studio One Kings,Burning Spear,193.8,0.674,0.465,1973ø
The Youth,R.O.R.X. - The Tenth Annual Reggae On The Rocks,Burning Spear,347.5,0.674,0.465,1989ø
The Invasion,Jah No Dead - An Introduction To Burning Spear,Burning Spear,231.5,0.674,0.465,1975ø
The Ghost (Marcus Garvey),Jah No Dead - An Introduction To Burning Spear,Burning Spear,232.5,0.674,0.465,1977ø
Social Living,20th Century Masters: The Millennium Collection: Best Of Burning Spear,Burning Spear,473.2,0.674,0.465,1980ø
Slavery Days,Harder Than The Best,Burning Spear,207.9,0.674,0.465,1975ø
Shout It Out,Dry & Heavy,Burning Spear,208.7,0.674,0.465,1977ø
She's Mine,Best Of The Fittest,Burning Spear,287.6,0.674,0.465,1987ø
Rocking Time,Studio One Classics,Burning Spear,167.7,0.674,0.465,1973ø
Road Foggy,Gold,Burning Spear,214.2,0.674,0.465,1980ø
Repatriation,Best Of The Fittest,Burning Spear,219.4,0.674,0.465,2002ø
Red Gold And Green,Gold,Burning Spear,194.7,0.674,0.465,1975ø
People Get Ready,Man In The Hills,Burning Spear,205.6,0.674,0.465,1976ø
Peace,R.O.R.X. - The Tenth Annual Reggae On The Rocks,Burning Spear,343.5,0.674,0.465,1993ø
One People,Chant Down Babylon: The Island Anthology,Burning Spear,252.5,0.674,0.465,1996ø
Old Marcus Garvey,Gold,Burning Spear,297.6,0.674,0.465,1975ø
No More War,Chant Down Babylon: The Island Anthology,Burning Spear,201.8,0.674,0.465,1976ø
Mister Garvey,Social Living,Burning Spear,291.7,0.674,0.465,1980ø
Mek We Dweet,Mek We Dweet,Burning Spear,260.4,0.674,0.465,1996ø
Marcus Say Jah No Dead,Jah No Dead - An Introduction To Burning Spear,Burning Spear,225.3,0.674,0.465,1980ø
Marcus Garvey,Gold,Burning Spear,209.0,0.674,0.465,1975ø
Man In The Hills,Gold,Burning Spear,239.4,0.674,0.465,1976ø
Lion,Chant Down Babylon: The Island Anthology,Burning Spear,367.2,0.674,0.465,1976ø
Jordan River,Chant Down Babylon: The Island Anthology,Burning Spear,294.5,0.674,0.465,1990ø
Jomo,Sounds And Pressure Volume 5,Burning Spear,189.1,0.674,0.465,2004ø
Jah Kingdom,Jah Kingdom,Burning Spear,239.7,0.674,0.465,1991ø
It's Good,Gold,Burning Spear,165.1,0.674,0.465,1976ø
It's A Long Way Around,Chant Down Babylon: The Island Anthology,Burning Spear,190.7,0.674,0.465,1977ø
I W.I.N.,Dry & Heavy,Burning Spear,228.1,0.674,0.465,1977ø
Hail H.I.M.,Gold,Burning Spear,254.6,0.674,0.465,1980ø
Fire Man,Best Of The Fittest,Burning Spear,247.2,0.674,0.465,1987ø
Farover,Best Of The Fittest,Burning Spear,260.2,0.674,0.465,1987ø
Dry & Heavy,Harder Than The Best,Burning Spear,206.5,0.674,0.465,1985ø
Door Peep,True Reggae,Burning Spear,156.1,0.674,0.465,1976ø
Cultivation,Gold,Burning Spear,250.5,0.674,0.465,1996ø
Columbus,Best Of The Fittest,Burning Spear,215.7,0.674,0.465,1980ø
Civilized Reggae,Harder Than The Best,Burning Spear,355.2,0.674,0.465,1980ø
Civilize Reggae,Social Living,Burning Spear,349.6,0.674,0.465,1996ø
Call On Jah,Jah Kingdom,Burning Spear,259.8,0.674,0.465,1991ø
Black Soul,Chant Down Babylon: The Island Anthology,Burning Spear,207.3,0.674,0.465,1976ø
Black Disciples,Chant Down Babylon: The Island Anthology,Burning Spear,269.3,0.674,0.465,1977ø
World Power,Jah Kingdom,Burning Spear,249.4,0.674,0.446,1991ø
Wailing,Gold,Burning Spear,169.3,0.674,0.446,1977ø
Tradition,Marcus Garvey/Garvey's Ghost,Burning Spear,210.6,0.674,0.446,1975ø
Should I,Jah Kingdom,Burning Spear,253.8,0.674,0.446,1991ø
Mother,Gold,Burning Spear,215.8,0.674,0.446,1976ø
Land Of My Birth,Jah Kingdom,Burning Spear,247.0,0.674,0.446,1991ø
Follow Marcus Garvey,Best Of The Fittest,Burning Spear,264.3,0.674,0.446,1980ø
Cry Blood Africa,Best Of The Fittest,Burning Spear,300.6,0.674,0.446,1987ø
Any River,Dry & Heavy,Burning Spear,199.7,0.674,0.446,1977ø
African Teacher,Best Of The Fittest,Burning Spear,237.6,0.674,0.446,1980ø
