Your Deep Shit,Machineries of Joy Vol. 4,Amduscia,295.1,0.628,0.453,2007ø
War On Me,Madness In Abyss,Amduscia,319.4,0.628,0.453,2008ø
Touch that (kill your thoughts),From Abuse to Apostasy,Amduscia,294.0,0.628,0.453,2006ø
The Visage Of Evil,Madness In Abyss (Dark Side),Amduscia,219.6,0.628,0.453,2008ø
The Last Breath (Nobody Could Help You),Madness In Abyss (Dark Side),Amduscia,270.1,0.628,0.453,2008ø
Show Me,Madness In Abyss (Dark Side),Amduscia,267.2,0.628,0.453,2008ø
Shattered mind,From Abuse to Apostasy,Amduscia,324.3,0.628,0.453,2006ø
Seal you in red,From Abuse to Apostasy,Amduscia,329.0,0.628,0.453,2006ø
Schizo Dance,Madness In Abyss,Amduscia,310.3,0.628,0.453,2008ø
Placeres negros,From Abuse to Apostasy,Amduscia,290.5,0.628,0.453,2006ø
Perverse Party,Madness In Abyss,Amduscia,306.0,0.628,0.453,2008ø
Madness In Abyss,Madness In Abyss,Amduscia,324.5,0.628,0.453,2008ø
La Muerte,Madness In Abyss,Amduscia,359.2,0.628,0.453,2008ø
Kill_ Inc._ Motherfuckers,Madness In Abyss,Amduscia,323.1,0.628,0.453,2008ø
Heresy,From Abuse to Apostasy,Amduscia,357.1,0.628,0.453,2006ø
Freak knowledge,From Abuse to Apostasy,Amduscia,268.6,0.628,0.453,2006ø
False Freedom,Dead or Alive,Amduscia,347.5,0.628,0.453,2005ø
El Consuelo Final,Madness In Abyss (Dark Side),Amduscia,231.8,0.628,0.453,2008ø
Easy way to hell,From Abuse to Apostasy,Amduscia,320.3,0.628,0.453,2006ø
Delirio Asesino,Dead or Alive,Amduscia,363.3,0.628,0.453,2005ø
Decision Inminente,Madness In Abyss,Amduscia,307.9,0.628,0.453,2008ø
Dead or Alive ((god mod rotten skin dance mix)),Dead or Alive,Amduscia,297.7,0.628,0.453,2005ø
Dead or Alive ((defcode remix)),Dead or Alive,Amduscia,392.6,0.628,0.453,2005ø
Dead or Alive ((club mix)),Dead or Alive,Amduscia,426.0,0.628,0.453,2005ø
Dead or Alive,Dead or Alive,Amduscia,395.1,0.628,0.453,2005ø
Corpses Symphony,Dead or Alive,Amduscia,338.5,0.628,0.453,2005ø
Bad Seed,Madness In Abyss (Dark Side),Amduscia,203.6,0.628,0.453,2008ø
Ashes Of Betrayal (Album Version),Madness In Abyss,Amduscia,312.3,0.628,0.453,2008ø
Animal Instinct (Part 2) (Nightmares Of Conscience),Madness In Abyss,Amduscia,304.5,0.628,0.453,2008ø
Animal Instinct (Part 1),Madness In Abyss,Amduscia,311.0,0.628,0.453,2008ø
Absolution,From Abuse to Apostasy,Amduscia,323.9,0.628,0.453,2006ø
A Pleasure Without End,Madness In Abyss (Dark Side),Amduscia,250.0,0.628,0.453,2008ø
...,Madness In Abyss (Dark Side),Amduscia,244.9,0.628,0.453,2008ø
