Top Gun,Nu-Clear Visions of Israel part 1,PsyCraft,457.6,0.51,0.365,2003ø
The Secret Of Sound,New Moves,PsyCraft,395.1,0.51,0.365,2004ø
Outro: The Final Move,New Moves,PsyCraft,287.2,0.51,0.365,2004ø
On The Edge,Computech,PsyCraft,373.7,0.51,0.365,2005ø
Nothing But Music,New Moves,PsyCraft,426.0,0.51,0.365,2004ø
Nexus,Flip Out Vol. 4 - compiled by Beat Hackers,PsyCraft,478.3,0.51,0.365,2006ø
New Move,New Moves,PsyCraft,465.4,0.51,0.365,2004ø
Memory Flash,New Moves,PsyCraft,527.7,0.51,0.365,2005ø
Law Of Karma,Computech,PsyCraft,419.9,0.51,0.365,2005ø
Inside Your Heaven,Computech,PsyCraft,424.6,0.51,0.365,2005ø
Feel The Vibe,Computech,PsyCraft,526.3,0.51,0.365,2005ø
Extreme Moments,New Moves,PsyCraft,432.6,0.51,0.365,2004ø
Electro Panic,Computech,PsyCraft,463.4,0.51,0.365,2005ø
Electric Charge,New Moves,PsyCraft,443.5,0.51,0.365,2004ø
Dirtbag,Computech,PsyCraft,267.1,0.51,0.365,2005ø
Computech,Global Exposition - by Mairo-Such,PsyCraft,462.2,0.51,0.365,2005ø
Borderline,Computech,PsyCraft,440.8,0.51,0.365,2005ø
Beat Craft,New Moves,PsyCraft,457.6,0.51,0.365,2004ø
Bad Girl,Computech,PsyCraft,446.9,0.51,0.365,2005ø
