www.deadnabore.a.j.b..com,www.y2ktheory.ep..a.j.b.com,Assorted Jelly Beans,215.5,0.519,0.374,1999ø
Wiggerside,What's Really Going On!?!,Assorted Jelly Beans,183.5,0.519,0.374,1998ø
The Rhythm,What's Really Going On!?!,Assorted Jelly Beans,113.7,0.519,0.374,1998ø
Rebel Yell,What's Really Going On!?!,Assorted Jelly Beans,159.9,0.519,0.374,1998ø
Punk Rock Jock,Asssorted Jelly Beans,Assorted Jelly Beans,130.8,0.519,0.374,1996ø
Plain Life,Asssorted Jelly Beans,Assorted Jelly Beans,141.9,0.519,0.374,1996ø
Parents,What's Really Going On!?!,Assorted Jelly Beans,189.9,0.519,0.374,1998ø
No Time,Asssorted Jelly Beans,Assorted Jelly Beans,144.1,0.519,0.374,1996ø
Newska One,Asssorted Jelly Beans,Assorted Jelly Beans,153.5,0.519,0.374,1996ø
Mr. Bill,Asssorted Jelly Beans,Assorted Jelly Beans,148.1,0.519,0.374,1996ø
Loadie Mission (Reprise),What's Really Going On!?!,Assorted Jelly Beans,117.8,0.519,0.374,1998ø
Loadie Mission,What's Really Going On!?!,Assorted Jelly Beans,117.7,0.519,0.374,1998ø
Juttered,What's Really Going On!?!,Assorted Jelly Beans,158.1,0.519,0.374,1998ø
In Our Eyes,Asssorted Jelly Beans,Assorted Jelly Beans,157.6,0.519,0.374,1996ø
I'm Out,What's Really Going On!?!,Assorted Jelly Beans,131.8,0.519,0.374,1998ø
Entry Levels Positions,What's Really Going On!?!,Assorted Jelly Beans,137.2,0.519,0.374,1998ø
Doobage,Asssorted Jelly Beans,Assorted Jelly Beans,123.0,0.519,0.374,1996ø
Don't Ask Me,Asssorted Jelly Beans,Assorted Jelly Beans,158.5,0.519,0.374,1996ø
Dead Neighbors,What's Really Going On!?!,Assorted Jelly Beans,214.8,0.519,0.374,1998ø
Contordations,What's Really Going On!?!,Assorted Jelly Beans,97.6,0.519,0.374,1998ø
Braindead,Asssorted Jelly Beans,Assorted Jelly Beans,158.5,0.519,0.374,1996ø
Assorted Jelly Beans,Asssorted Jelly Beans,Assorted Jelly Beans,130.7,0.519,0.374,1996ø
Another Way,Asssorted Jelly Beans,Assorted Jelly Beans,124.1,0.519,0.374,1996ø
8th Grade Nerd,Asssorted Jelly Beans,Assorted Jelly Beans,152.9,0.519,0.374,1996ø
3 Chords,What's Really Going On!?!,Assorted Jelly Beans,119.8,0.519,0.374,1998ø
