Warrior,Greatest Hits (Ten Years of Turmoil),Swollen Members,243.9,0.749,0.42,2010ø
Too Hot (feat. DJ Babu),Black Magic,Swollen Members,213.3,0.749,0.42,2006ø
Therapy,Heavy,Swollen Members,229.0,0.749,0.42,2003ø
Temptation,Battleaxe Warriors II,Swollen Members,151.6,0.749,0.42,2002ø
Switchblade,Defenders of the Underworld,Swollen Members,205.6,0.749,0.42,1999ø
So Deadly (feat. Evidence),Black Magic,Swollen Members,238.8,0.749,0.42,2006ø
Sinful Bliss,Balance,Swollen Members,256.8,0.749,0.42,1999ø
Put Me On (feat. Everlast & Moka Only),Black Magic,Swollen Members,245.4,0.749,0.42,2006ø
Prisoner of Doom,Black Magic,Swollen Members,252.1,0.749,0.42,2006ø
Pornstar (feat. Tre Nyce),Armed to the Teeth,Swollen Members,203.0,0.749,0.42,2009ø
Out of Range,Balance,Swollen Members,241.8,0.749,0.42,1999ø
Left Field (feat. Del Tha Funkee Homosapien & Unicron),Balance,Swollen Members,315.9,0.749,0.42,1999ø
Lady Venom,Balance,Swollen Members,255.8,0.749,0.42,1999ø
Kyla,Armed to the Teeth,Swollen Members,200.8,0.749,0.42,2009ø
Killing Spree,Bad Dreams,Swollen Members,158.5,0.749,0.42,2001ø
Here We Come,Armed to the Teeth,Swollen Members,194.6,0.749,0.42,2009ø
Heart,Black Magic,Swollen Members,186.1,0.749,0.42,2006ø
Ground Breaking,Balance Instrumentals,Swollen Members,235.1,0.749,0.42,1999ø
Grind (feat. Moka Only),Black Magic,Swollen Members,194.9,0.749,0.42,2006ø
Go To Sleep (feat. Barbie Hatch),Black Magic,Swollen Members,272.3,0.749,0.42,2006ø
Front Street,Balance Instrumentals,Swollen Members,217.2,0.749,0.42,1999ø
Freak Fantastic,Battleaxe Warriors III,Swollen Members,192.8,0.749,0.42,2002ø
Flyest (feat. Tre Nyce),Armed to the Teeth,Swollen Members,194.2,0.749,0.42,2009ø
Dark Clouds (feat. Evidence),Black Magic,Swollen Members,293.4,0.749,0.42,2005ø
Counterparts,Balance Instrumentals,Swollen Members,273.4,0.749,0.42,1999ø
Counter Parts (feat. Evidence & Iriscience),Balance,Swollen Members,273.6,0.749,0.42,1999ø
Consumption (feat. Aceyalone),Balance,Swollen Members,290.0,0.749,0.42,1999ø
Consumption,Balance Instrumentals,Swollen Members,290.6,0.749,0.42,1999ø
Concerto,Armed to the Teeth,Swollen Members,149.1,0.749,0.42,2009ø
Concentrate,Heavy Instrumentals,Swollen Members,198.0,0.749,0.42,2003ø
Committed,Balance Instrumentals,Swollen Members,169.9,0.749,0.42,1999ø
Circuit Breaker,Balance,Swollen Members,198.1,0.749,0.42,1999ø
Certified Dope,Armed to the Teeth,Swollen Members,210.6,0.749,0.42,2009ø
Bring It Home (feat. Moka Only),Bad Dreams,Swollen Members,193.6,0.749,0.42,2001ø
Breath (feat. Nelly Furtado),Monsters in the Closet,Swollen Members,230.2,0.749,0.42,2003ø
Bottom Line,Heavy,Swollen Members,228.1,0.749,0.42,2003ø
Bollywood Chick (feat. Tech N9NE & Tre Nyce),Armed to the Teeth,Swollen Members,286.1,0.749,0.42,2009ø
Bang Bang (feat. Tre Nyce & Young Kazh),Armed to the Teeth,Swollen Members,278.3,0.749,0.42,2009ø
Adrenaline,Heavy,Swollen Members,246.1,0.749,0.42,2003ø
