Sippy Cup,Anticon Label Sampler 1999 - 2004,Restiform Bodies,150.0,0.577,0.345,2004ø
Pick It Up_ Drop It,TV Loves You Back,Restiform Bodies,346.5,0.577,0.345,2008ø
Panic Shopper,TV Loves You Back,Restiform Bodies,240.0,0.577,0.345,2008ø
Opulent Soul,TV Loves You Back,Restiform Bodies,359.2,0.577,0.345,2008ø
Interactive Halloween Bear,TV Loves You Back,Restiform Bodies,229.1,0.577,0.345,2008ø
Foul,TV Loves You Back,Restiform Bodies,242.8,0.156,0.345,2008ø
Consumer Culture Wave,TV Loves You Back,Restiform Bodies,219.3,0.577,0.345,2008ø
Bobby Trendy Addendum,TV Loves You Back,Restiform Bodies,245.1,0.577,0.345,2008ø
Black Friday,TV Loves You Back,Restiform Bodies,197.3,0.577,0.345,2008ø
Ameriscan,TV Loves You Back,Restiform Bodies,236.1,0.577,0.345,2008ø
A Pimp-like God,TV Loves You Back,Restiform Bodies,319.7,0.577,0.345,2008ø
