Whole Life,Sun Step EP,Oxia,482.0,0.656,0.412,2009ø
Tnn,24 Heures,Oxia,314.7,0.656,0.412,2004ø
Reflexion,24 Heures,Oxia,392.3,0.656,0.412,2004ø
Premiere Heure,24 Heures,Oxia,146.2,0.656,0.412,2004ø
Lost memory,Lost Memory EP,Oxia,429.0,0.656,0.412,2007ø
Intuition,24 Heures,Oxia,372.4,0.656,0.412,2004ø
"House"" Nation Re-Work",24 Heures,Oxia,347.8,0.656,0.412,2004ø
Hasard (version2),24 Heures,Oxia,447.8,0.656,0.412,2004ø
Different Way,24 Heures,Oxia,304.4,0.656,0.412,2004ø
Bouni,The History Of Schranz,Oxia,369.6,0.656,0.412,2002ø
6 For 1,24 Heures,Oxia,385.5,0.656,0.412,2004ø
12 Years Later,Lost Memory EP,Oxia,444.8,0.656,0.412,2007ø
