Your Sweet Name,Mantras for Madmen,Harry Manx,201.4,0.564,0.383,2006ø
The Gist of Madhuvanti / The Thrill Is Gone,Wise and Otherwise,Harry Manx,376.6,0.564,0.383,2005ø
Take This Hammer,Road Ragas,Harry Manx,315.8,0.564,0.383,2005ø
Sunday Morning Ascension,Road Ragas,Harry Manx,223.5,0.564,0.383,2005ø
Only Then Will Your House Be Blessed,Road Ragas,Harry Manx,205.0,0.564,0.383,2005ø
Long Black Veil,Johnny's Blues - A Tribute To Johnny Cash,Harry Manx,281.3,0.564,0.383,2009ø
Lay Down My Worries,Dog My Cat,Harry Manx,198.5,0.564,0.383,2005ø
Don't Forget To Miss Me,Road Ragas,Harry Manx,273.6,0.564,0.383,2005ø
Coat of Mail,Wise and Otherwise,Harry Manx,265.8,0.564,0.383,2005ø
Bring That Thing,Road Ragas,Harry Manx,336.0,0.564,0.383,2005ø
Bend In The Water,Beautiful: A Tribute To Gordon Lightfoot,Harry Manx,202.5,0.564,0.383,2003ø
Baby Please Don't Go,Road Ragas,Harry Manx,225.8,0.564,0.383,2005ø
