Zebra (Radio Edit),Zebra,John Butler Trio,180.7,0.73,0.524,2003ø
Zebra (full-length/album version),Sunrise Over Sea,John Butler Trio,237.6,0.73,0.524,2004ø
What You Want (Album Version),What You Want,John Butler Trio,320.9,0.73,0.524,2004ø
Used To Get High (Album Version),Grand National,John Butler Trio,267.9,0.73,0.524,2007ø
Treat Yo Mama (Funky Mix) (album version),What You Want,John Butler Trio,281.7,0.73,0.524,2004ø
Treat Yo Mama (full-length/album version),Sunrise Over Sea,John Butler Trio,289.1,0.73,0.524,2004ø
To Look Like You,April Uprising,John Butler Trio,259.3,0.73,0.524,2010ø
Thou Shalt Not Steal (Non Album Track),Better Than,John Butler Trio,287.3,0.73,0.524,2007ø
Take Me,April Uprising,John Butler Trio,301.2,0.73,0.524,2010ø
Steal It,April Uprising,John Butler Trio,222.6,0.73,0.524,2010ø
Something's Gotta Give (Live),Live At St. Gallen,John Butler Trio,203.8,0.73,0.524,2004ø
Seeing Angels (full-length/album version),Sunrise Over Sea,John Butler Trio,373.7,0.73,0.524,2004ø
Revolution,April Uprising,John Butler Trio,306.0,0.73,0.524,2010ø
Ragged Mile,April Uprising,John Butler Trio,237.2,0.73,0.524,2010ø
Pickapart (album version),What You Want,John Butler Trio,179.4,0.73,0.524,2004ø
Peaches & Cream (full-length/album version),Sunrise Over Sea,John Butler Trio,403.5,0.73,0.524,2004ø
Only You,April Uprising,John Butler Trio,213.4,0.73,0.524,2010ø
One Way Road,One Way Road,John Butler Trio,186.1,0.73,0.524,2009ø
Oldman (full-length/album version),Sunrise Over Sea,John Butler Trio,309.7,0.73,0.524,2004ø
Mystery Man,April Uprising,John Butler Trio,235.1,0.73,0.524,2010ø
Losing You (Album Version),Grand National,John Butler Trio,227.1,0.73,0.524,2007ø
I'd Do Anything,April Uprising,John Butler Trio,200.6,0.73,0.524,2010ø
Groovin' Slowly (Album Version),Grand National,John Butler Trio,271.8,0.73,0.524,2007ø
Gov Did Nothin' (Album Version),Grand National,John Butler Trio,484.2,0.73,0.524,2007ø
Good Excuse (Album Version),Grand National,John Butler Trio,205.5,0.73,0.524,2007ø
Gonna Take It (Album Version),Grand National,John Butler Trio,283.3,0.73,0.524,2007ø
Funky Tonight (Album Version),Funky Tonight,John Butler Trio,326.2,0.73,0.524,2006ø
Don't Wanna See Your Face,April Uprising,John Butler Trio,163.1,0.73,0.524,2010ø
Devil Running (Album Version),Grand National,John Butler Trio,288.2,0.73,0.524,2007ø
Daniella (Album Version),Grand National,John Butler Trio,255.7,0.73,0.524,2007ø
Damned To Hell (full-length/album version),Sunrise Over Sea,John Butler Trio,107.8,0.73,0.524,2004ø
Close To You,April Uprising,John Butler Trio,231.4,0.73,0.524,2010ø
Caroline (Album Version),Grand National,John Butler Trio,226.9,0.73,0.524,2007ø
C'mon Now,April Uprising,John Butler Trio,162.2,0.73,0.524,2010ø
Betterman (full-length/album version),Sunrise Over Sea,John Butler Trio,223.7,0.73,0.524,2004ø
Better Than (Album Version),Grand National,John Butler Trio,209.2,0.73,0.524,2007ø
Across The Universe (album version),What You Want,John Butler Trio,229.0,0.73,0.524,2004ø
A Star Is Born,April Uprising,John Butler Trio,273.0,0.73,0.524,2010ø
