Eine kleine Nachtmusik_ K.525/IV. Rondo. Allegro,Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,248.0,0.664,0.483,1995ø
Eine kleine Nachtmusik_ K.525/III. Menuetto. Allegretto - Trio,Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,115.9,0.664,0.483,1995ø
Eine kleine Nachtmusik_ K.525/II. Romance. Andante,Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,338.9,0.664,0.483,1995ø
Eine kleine Nachtmusik_ K.525/I. Allegro,Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,348.6,0.664,0.483,1995ø
Concerto for 2 Cellos_ String Orchestra and Continuo in G minor_ RV 531/III. Allegro,Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,193.2,0.664,0.483,1995ø
Concerto for 2 Cellos_ String Orchestra and Continuo in G minor_ RV 531/II. Largo,Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,194.0,0.664,0.483,1995ø
Concerto for 2 Cellos_ String Orchestra and Continuo in G minor_ RV 531/I. Allegro,Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,251.4,0.664,0.483,1995ø
"Scherzo_ Op. 61_ No. 1 from ""A Midsummer Night's Dream",Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,269.0,0.664,0.468,1995ø
Pavane_ Op. 50,Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,326.4,0.664,0.468,1995ø
"Overture to ""The Marriage of Figaro"" K. 492",Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,258.1,0.664,0.468,2001ø
Minuetto & Finale from Pulcinella Suite (rev.1949),Paper Music,Bobby McFerrin;The Saint Paul Chamber Orchestra,250.0,0.664,0.468,1995ø
