This Guy's In Love With You,Magic Moments - The Definitive Burt Bacharach Collection,Herb Alpert,239.5,0.6,0.431,1991ø
Street Life,Rise,Herb Alpert,304.6,0.6,0.431,1979ø
Rotation (Alternate Version),Rise,Herb Alpert,271.4,0.6,0.431,2007ø
Rotation,Rise,Herb Alpert,312.6,0.6,0.431,1979ø
Rise,Rise,Herb Alpert,457.2,0.6,0.431,1979ø
Love Is,Rise,Herb Alpert,269.5,0.6,0.431,1979ø
Behind The Sun,Rise,Herb Alpert,332.7,0.6,0.431,1979ø
Aranjuez (Mon Amour) (2007 Dance Mix),Rise,Herb Alpert,308.8,0.6,0.431,2007ø
Aranjuez (Mon Amour),Rise,Herb Alpert,402.3,0.6,0.431,1979ø
Angelina,Rise,Herb Alpert,252.9,0.6,0.431,1979ø
1980,Rise,Herb Alpert,145.8,0.6,0.431,1979ø
