Where I am,Machineries of Joy Vol. 4,Decoded Feedback,297.6,0.56,0.393,2007ø
Translucent,Aftermath,Decoded Feedback,302.0,0.56,0.393,2010ø
This World,BioMechanic,Decoded Feedback,349.9,0.56,0.393,1998ø
The Sequel,BioMechanic,Decoded Feedback,154.6,0.56,0.393,2000ø
That's all you Want,Combustion,Decoded Feedback,334.9,0.56,0.393,2005ø
Synthesis,BioMechanic,Decoded Feedback,284.9,0.56,0.393,1998ø
Slut-Trash,Combustion,Decoded Feedback,309.0,0.56,0.393,2005ø
Reflect in Silence,BioMechanic,Decoded Feedback,396.4,0.56,0.393,2000ø
Ragescape,BioMechanic,Decoded Feedback,304.3,0.56,0.393,1998ø
Proteus Syndrome,Aftermath,Decoded Feedback,350.6,0.56,0.393,2010ø
Phoenix - Sunray Mix by Angels and Agony,Phoenix,Decoded Feedback,281.4,0.56,0.393,2002ø
Phoenix - Noisex Remix,Phoenix,Decoded Feedback,321.6,0.56,0.393,2002ø
Phoenix - Defcode Club Mix,Phoenix,Decoded Feedback,323.0,0.56,0.393,2002ø
Mechanical Horizon,BioMechanic,Decoded Feedback,322.2,0.56,0.393,2000ø
Machine Kontrol,BioMechanic,Decoded Feedback,255.0,0.56,0.393,1998ø
God's Sin,BioMechanic,Decoded Feedback,292.0,0.56,0.393,1998ø
Euthanasia - Shockwave Mix,Phoenix,Decoded Feedback,322.7,0.56,0.393,2002ø
Eternity Falls,Aftermath,Decoded Feedback,376.4,0.56,0.393,2010ø
Eternal Dreams,Phoenix,Decoded Feedback,271.0,0.56,0.393,2002ø
Decompress,Aftermath,Decoded Feedback,289.0,0.56,0.393,2010ø
Dark Reflections,Aftermath,Decoded Feedback,373.1,0.56,0.393,2010ø
Burn Europe Burn,Shockwave,Decoded Feedback,228.2,0.56,0.393,2003ø
Bodycell,BioMechanic,Decoded Feedback,309.2,0.56,0.393,1998ø
Bio-Vital,BioMechanic,Decoded Feedback,322.7,0.56,0.393,1998ø
Again,BioMechanic,Decoded Feedback,237.4,0.56,0.393,1998ø
Affliction,Aftermath,Decoded Feedback,377.5,0.56,0.393,2010ø
