Yolo Bus Blues,Sacto Scene Report,Whiskey Rebels,129.3,0.519,0.355,2005ø
Whiskey Rebels (Album Version),Whiskey Rebels,Whiskey Rebels,126.2,0.519,0.355,2002ø
To Be Poor Is A Crime (Album Version),Create Or Die,Whiskey Rebels,176.3,0.519,0.355,2004ø
Summertime (Album Version),Whiskey Rebels,Whiskey Rebels,123.2,0.519,0.355,2002ø
Streets Gave You To Me (Album Version),Whiskey Rebels,Whiskey Rebels,160.5,0.519,0.355,2002ø
St. Ides (Album Version),Whiskey Rebels,Whiskey Rebels,87.9,0.519,0.355,2002ø
Sex_ Thugs_ Rock & Roll (Album Version),Create Or Die,Whiskey Rebels,174.8,0.519,0.355,2004ø
Sacto United (Album Version),Whiskey Rebels,Whiskey Rebels,121.1,0.519,0.355,2002ø
Roll The Dice (Album Version),Whiskey Rebels,Whiskey Rebels,152.7,0.519,0.355,2002ø
Peace Through War (Album Version),Create Or Die,Whiskey Rebels,179.3,0.519,0.355,2004ø
No Heroes In Hell (Album Version),Create Or Die,Whiskey Rebels,145.1,0.519,0.355,2004ø
Let Freedom Ring (Album Version),Whiskey Rebels,Whiskey Rebels,122.2,0.519,0.355,2002ø
Killing Me (Album Version),Create Or Die,Whiskey Rebels,158.5,0.519,0.355,2004ø
Invisible (Album Version),Whiskey Rebels,Whiskey Rebels,102.3,0.519,0.355,2002ø
Good Old Days (Album Version),Whiskey Rebels,Whiskey Rebels,182.3,0.519,0.355,2002ø
Final Call (Album Version),Whiskey Rebels,Whiskey Rebels,121.8,0.519,0.355,2002ø
Disaster (Album Version),Create Or Die,Whiskey Rebels,142.0,0.519,0.355,2004ø
Crossroads (Album Version),Create Or Die,Whiskey Rebels,108.6,0.519,0.355,2004ø
Create Or Die (Album Version),Create Or Die,Whiskey Rebels,179.0,0.519,0.355,2004ø
Carry On (Album Version),Create Or Die,Whiskey Rebels,131.5,0.519,0.355,2004ø
By Reason Of Insanity (Album Version),Whiskey Rebels,Whiskey Rebels,49.1,0.519,0.355,2002ø
Bad Sign (Album Version),Whiskey Rebels,Whiskey Rebels,148.0,0.519,0.355,2002ø
Agro Wishes (Album Version),Whiskey Rebels,Whiskey Rebels,71.4,0.519,0.355,2002ø
Absolutely Everything (Album Version),Create Or Die,Whiskey Rebels,174.3,0.519,0.355,2004ø
