The Trolley Song,Anything Goes-Live,Herb Alpert | Lani Hall,228.4,0.6,0.431,2010ø
That Old Black Magic,Anything Goes-Live,Herb Alpert | Lani Hall,282.5,0.6,0.431,2010ø
Morning Coffee,Anything Goes-Live,Herb Alpert | Lani Hall,205.4,0.6,0.431,2010ø
Laura,Anything Goes-Live,Herb Alpert | Lani Hall,341.4,0.6,0.431,2010ø
It's Only a Paper Moon,Anything Goes-Live,Herb Alpert | Lani Hall,116.8,0.6,0.431,2010ø
I've Grown Accustomed to Her Face,Anything Goes-Live,Herb Alpert | Lani Hall,230.3,0.6,0.431,1992ø
I've Got You Under My Skin,Anything Goes-Live,Herb Alpert | Lani Hall,266.4,0.6,0.431,2010ø
Fascinating Rhythm,Anything Goes-Live,Herb Alpert | Lani Hall,254.2,0.6,0.431,2010ø
Besame Mucho,Anything Goes-Live,Herb Alpert | Lani Hall,284.1,0.6,0.431,1981ø
Anything Goes,Anything Goes-Live,Herb Alpert | Lani Hall,214.8,0.6,0.431,2010ø
