Killing Machine,Police Story,Partisans,97.7,0.564,0.373,1981ø
Z Car,Max,Partisans,310.1,0.548,0.367,2005ø
Wise Child,Max,Partisans,489.5,0.548,0.367,2005ø
The Lacemakers,Max,Partisans,410.3,0.548,0.367,2005ø
The Eskaton,Max,Partisans,398.2,0.548,0.367,2005ø
Some Of Those,Max,Partisans,154.3,0.548,0.367,2005ø
Quarterlight,Max,Partisans,336.1,0.548,0.367,2005ø
Partisans #2,Max,Partisans,478.0,0.548,0.367,2005ø
Last Chance,Max,Partisans,406.4,0.548,0.367,2005ø
Klack-Oveeseds-Tene/Max,Max,Partisans,412.9,0.548,0.367,2005ø
John_ I'm Only Dancing,Max,Partisans,497.4,0.548,0.367,2005ø
