You're Getting To Be A Habit WIth Me,Another Woman In Love,Maureen McGovern;Mike Renzi,190.7,0.502,0.339,1987ø
Why Can't I,Another Woman In Love,Maureen McGovern;Mike Renzi,220.7,0.502,0.339,1987ø
Something I Thought I'd Never Do,Another Woman In Love,Maureen McGovern;Mike Renzi,209.2,0.502,0.339,1987ø
Some Other Time,Another Woman In Love,Maureen McGovern;Mike Renzi,110.2,0.502,0.339,1987ø
Right As The Rain,Another Woman In Love,Maureen McGovern;Mike Renzi,186.0,0.502,0.339,1987ø
Rainy Days,Another Woman In Love,Maureen McGovern;Mike Renzi,209.2,0.502,0.339,1987ø
Make The Man Love Me,Another Woman In Love,Maureen McGovern;Mike Renzi,206.4,0.502,0.339,1987ø
I Like You_ You're Nice,Another Woman In Love,Maureen McGovern;Mike Renzi,128.8,0.502,0.339,1987ø
I Could Have Been A Sailor,Another Woman In Love,Maureen McGovern;Mike Renzi,189.8,0.502,0.339,1987ø
Confession,Another Woman In Love,Maureen McGovern;Mike Renzi,91.8,0.502,0.339,1987ø
Another Woman In Love,Another Woman In Love,Maureen McGovern;Mike Renzi,166.6,0.502,0.339,1987ø
