Valle del Cauca,Coleccion Estelar de Salsa Sudamericana,Grupo Niche,306.5,0.638,0.459,1998ø
Un caso social,Me huele a matrimonio,Grupo Niche,333.4,0.638,0.459,1986ø
Tongolele,Me huele a matrimonio,Grupo Niche,292.9,0.638,0.459,1986ø
Te prometo yo propongo,Control absoluto,Grupo Niche,261.4,0.638,0.459,2002ø
Sin Sentimientos,Una Aventura...La Historia,Grupo Niche,294.3,0.638,0.459,1991ø
Sin novia y sin carro,Control absoluto,Grupo Niche,328.2,0.638,0.459,2002ø
Sevicia,Directo desde New York!,Grupo Niche,222.9,0.638,0.459,1983ø
Serenata,No hay quinto malo,Grupo Niche,347.5,0.638,0.459,1984ø
Se pone bueno,Alive,Grupo Niche,255.9,0.638,0.459,2005ø
Salao,Control absoluto,Grupo Niche,273.6,0.638,0.459,2002ø
Rupelto Mena,Alive,Grupo Niche,288.5,0.638,0.459,2005ø
Rosa,No hay quinto malo,Grupo Niche,282.1,0.638,0.459,1984ø
Que viva Puerto Rico,Alive,Grupo Niche,315.1,0.638,0.459,2005ø
Primero Y Que,Virtual Hits,Grupo Niche,370.2,0.638,0.459,1982ø
Pecado  capital,No hay quinto malo,Grupo Niche,309.9,0.638,0.459,1984ø
Para mi negra un son,Me huele a matrimonio,Grupo Niche,319.7,0.638,0.459,1986ø
Nicolasa Santos,Querer es poder,Grupo Niche,351.6,0.638,0.459,1981ø
Miserable,Una Aventura...La Historia,Grupo Niche,322.0,0.638,0.459,1990ø
Mi Machete,Imaginacion,Grupo Niche,327.2,0.638,0.459,2004ø
Me huele a matrimonio,Me huele a matrimonio,Grupo Niche,335.7,0.638,0.459,1987ø
Lo Bonito Y Lo Feo,20th Anniversary,Grupo Niche,297.0,0.638,0.459,1992ø
Listo Medellin,Virtual Hits,Grupo Niche,326.8,0.638,0.459,2003ø
Lamento guajiro,Directo desde New York!,Grupo Niche,416.4,0.638,0.459,1983ø
La trampa,Me huele a matrimonio,Grupo Niche,334.0,0.638,0.459,1986ø
La rata chillona,Me huele a matrimonio,Grupo Niche,274.1,0.638,0.459,1986ø
La Negra No Quiere,Virtual Hits,Grupo Niche,359.4,0.638,0.459,1984ø
La Magia De Tus Besos,20th Anniversary,Grupo Niche,284.2,0.638,0.459,1992ø
La Gota Fria,Virtual Hits,Grupo Niche,326.7,0.638,0.459,1982ø
La Gallinita De Los Huevos De Oro,20th Anniversary,Grupo Niche,290.4,0.638,0.459,1992ø
La fiera,Triunfo,Grupo Niche,302.9,0.638,0.459,1985ø
Hola Rola -Salsa-,Alive,Grupo Niche,346.0,0.638,0.459,2005ø
Hagamos,Alive,Grupo Niche,264.9,0.638,0.459,2005ø
Gotas De Lluvia,Siempre Una Aventura,Grupo Niche,355.0,0.638,0.459,1992ø
Gitana,Virtual Hits,Grupo Niche,355.6,0.638,0.459,1982ø
Ganas -la balada paisa-,Control absoluto,Grupo Niche,338.3,0.638,0.459,2002ø
Es loca o es mala,Control absoluto,Grupo Niche,292.4,0.638,0.459,2002ø
Enamorado de ti,Querer es poder,Grupo Niche,332.3,0.638,0.459,1981ø
Enamorada,Control absoluto,Grupo Niche,250.4,0.638,0.459,2002ø
El coco,No hay quinto malo,Grupo Niche,256.4,0.638,0.459,1984ø
El cable,Directo desde New York!,Grupo Niche,256.6,0.638,0.459,1983ø
Digo Yo,Virtual Hits,Grupo Niche,340.7,0.638,0.459,1981ø
Damaris Canto (A mi medida),Alive,Grupo Niche,275.9,0.638,0.459,2005ø
Consejo de madre,Querer es poder,Grupo Niche,334.6,0.638,0.459,1981ø
Cielo De Tambores,20th Anniversary,Grupo Niche,337.9,0.638,0.459,1991ø
Cicatrices,Triunfo,Grupo Niche,412.1,0.638,0.459,1985ø
Cali pachanguero,No hay quinto malo,Grupo Niche,310.6,0.638,0.459,1984ø
Buenaventura Y Caney,Virtual Hits,Grupo Niche,324.3,0.638,0.459,1981ø
Bendita seas,Me huele a matrimonio,Grupo Niche,279.6,0.638,0.459,1986ø
Bar Y Copas,The Best,Grupo Niche,257.8,0.638,0.459,1990ø
Bandariba Bandabau,Alive,Grupo Niche,328.0,0.638,0.459,2005ø
Atrevida,The Best,Grupo Niche,276.9,0.638,0.459,1990ø
Ana Mile,Virtual Hits,Grupo Niche,233.5,0.638,0.459,1992ø
Amor del bueno,Control absoluto,Grupo Niche,279.7,0.638,0.459,2002ø
Al Pasito,Virtual Hits,Grupo Niche,302.4,0.638,0.459,1983ø
A ti Barranquilla,Directo desde New York!,Grupo Niche,298.2,0.638,0.459,1983ø
A Prueba De Fuego,La Sucursal De La Salsa,Grupo Niche,282.2,0.638,0.459,1997ø
