Your Personal Touch,The Pop Years 1984 - 1985,"Evelyn ""Champagne"" King",279.2,0.62,0.455,1985ø
Till Midnight,Platinum & Gold Collection,"Evelyn ""Champagne"" King",250.6,0.62,0.455,2002ø
The Show Is Over,Snoop Classics Vol 1,"Evelyn ""Champagne"" King",322.4,0.62,0.455,1977ø
Teenager,Platinum & Gold Collection,"Evelyn ""Champagne"" King",240.0,0.62,0.455,1993ø
Shame,The Pop Years 1978-1979,"Evelyn ""Champagne"" King",213.8,0.62,0.455,1977ø
Shake Down,Platinum & Gold Collection,"Evelyn ""Champagne"" King",236.0,0.62,0.455,1993ø
Love Come Down,Ultimate Disco,"Evelyn ""Champagne"" King",208.8,0.62,0.455,1982ø
Just For The Night,Platinum & Gold Collection,"Evelyn ""Champagne"" King",283.6,0.62,0.455,1993ø
I'm In Love,Platinum & Gold Collection,"Evelyn ""Champagne"" King",302.1,0.62,0.455,1981ø
I Don't Know If It's Right,Platinum & Gold Collection,"Evelyn ""Champagne"" King",225.5,0.62,0.455,1977ø
Don't Hide Our Love,Platinum & Gold Collection,"Evelyn ""Champagne"" King",252.0,0.62,0.455,1981ø
Betcha She Don't Love You,Platinum & Gold Collection,"Evelyn ""Champagne"" King",237.6,0.62,0.455,1982ø
Action,Platinum & Gold Collection,"Evelyn ""Champagne"" King",199.9,0.62,0.455,1993ø
