What Is This Thing Called Love,Silver,Solveig Slettahjell,338.0,0.411,0.44,2005ø
We Were Indians,Good Rain,Solveig Slettahjell,264.8,0.411,0.44,2007ø
This Is My People,Domestic Songs,Solveig Slettahjell,184.1,0.411,0.44,2007ø
Stille Natt,Natt I Betlehem,Solveig Slettahjell,271.2,0.411,0.44,2008ø
Star Carol,Natt I Betlehem,Solveig Slettahjell,282.6,0.411,0.44,2008ø
Sleep Holy Babe,Natt I Betlehem,Solveig Slettahjell,241.4,0.411,0.44,2008ø
Never Forget The Good Ones,Domestic Songs,Solveig Slettahjell,226.4,0.411,0.44,2007ø
My Heart Belongs To Daddy,Slow Motion Orchestra,Solveig Slettahjell,406.4,0.411,0.44,2003ø
Mitt Hjerte Alltid Vanker,Natt I Betlehem,Solveig Slettahjell,454.7,0.411,0.44,2008ø
Bed Is Too Small,Domestic Songs,Solveig Slettahjell,176.2,0.411,0.44,2007ø
Baby'S Bed'S A Silver Moon,Domestic Songs,Solveig Slettahjell,153.2,0.411,0.44,2007ø
4:30 AM,Domestic Songs,Solveig Slettahjell,192.7,0.411,0.44,2007ø
