Y'a un ange,Les Fleurs de Forest,Pascal Obispo,357.4,0.561,0.378,2007ø
Une Folie De Plus,Fan,Pascal Obispo,306.8,0.561,0.378,2004ø
Un Jour Comme Aujourd'Hui,Un Jour Comme Aujourd' Hui,Pascal Obispo,311.2,0.561,0.378,1994ø
Tue Par Amour,Soledad,Pascal Obispo,310.6,0.561,0.378,1999ø
Tu Vas Me Manquer,Live 98,Pascal Obispo,365.0,0.561,0.378,1998ø
Superflu,Live 98,Pascal Obispo,265.1,0.561,0.378,1996ø
Silence,Soledad,Pascal Obispo,384.5,0.561,0.378,1999ø
Sa Raison D'Etre,Fan,Pascal Obispo,298.8,0.561,0.378,2003ø
Rosa,Rosa,Pascal Obispo,248.2,0.561,0.378,2006ø
Plus Que Tout Au Monde,Live 98,Pascal Obispo,406.3,0.561,0.378,1992ø
Personne,Superflu,Pascal Obispo,261.4,0.561,0.378,1996ø
Pas besoin de regrets,Fan,Pascal Obispo,345.7,0.561,0.378,1999ø
Par Absence,Soledad,Pascal Obispo,345.1,0.561,0.378,1999ø
Noir,Les Fleurs Du Bien,Pascal Obispo,370.2,0.561,0.378,2006ø
Mon Avion T'Attend,Live 98,Pascal Obispo,222.4,0.561,0.378,1998ø
Merci L'Artiste,Fan,Pascal Obispo,218.2,0.561,0.378,2004ø
Ma Consolation,Un Jour Comme Aujourd' Hui,Pascal Obispo,269.2,0.561,0.378,1994ø
Lucie,Live 98,Pascal Obispo,450.4,0.561,0.378,1996ø
Libre Comme Picasso,Les Fleurs Du Bien,Pascal Obispo,270.7,0.561,0.378,2006ø
Les Mains Qui Se Cherchent,Plus Que Tout Au Monde,Pascal Obispo,227.1,0.561,0.378,1992ø
Les Fleurs Du Bien,Les Fleurs Du Bien,Pascal Obispo,261.1,0.561,0.378,2006ø
Les Fans Et Les Chansons D'Abord,Fan,Pascal Obispo,363.5,0.561,0.378,2004ø
Le Meilleur Reste A Venir,Superflu,Pascal Obispo,276.3,0.561,0.378,1996ø
Laurelenn,Plus Que Tout Au Monde,Pascal Obispo,170.2,0.561,0.378,1992ø
Las Vegas,Les Fleurs Du Bien,Pascal Obispo,361.6,0.561,0.378,2006ø
La Porte Ouverte,Superflu,Pascal Obispo,235.4,0.561,0.378,1996ø
La Machine,Les Fleurs Du Bien,Pascal Obispo,246.6,0.561,0.378,2006ø
La Bombe Humaine,Fan,Pascal Obispo,216.4,0.561,0.378,2004ø
L'Important C'Est D'Aimer,Soledad,Pascal Obispo,300.7,0.561,0.378,1999ø
L'Essentiel,Les fleurs du bien (deluxe edition),Pascal Obispo,293.7,0.561,0.378,2006ø
L'Amour Avec Toi,Fan,Pascal Obispo,157.7,0.561,0.378,2003ø
Je Suis Un Homme,Fan,Pascal Obispo,311.3,0.561,0.378,2004ø
Je Suis De L'Atlantique,Fan,Pascal Obispo,270.9,0.561,0.378,2004ø
It'S A Pleasure To Work With You Guys,Fan,Pascal Obispo,79.7,0.561,0.378,2004ø
Holidays,Un Jour Comme Aujourd' Hui,Pascal Obispo,230.4,0.561,0.378,1994ø
Goodbye Marylou,Fan,Pascal Obispo,301.9,0.561,0.378,2004ø
Fan,Fan,Pascal Obispo,267.7,0.561,0.378,2003ø
D'Un Piano A L'Autre (C'Est La Musique),Fan,Pascal Obispo,325.4,0.561,0.378,2003ø
Chlore,Un Jour Comme Aujourd' Hui,Pascal Obispo,231.0,0.561,0.378,1994ø
Camille S'Endort,Plus Que Tout Au Monde,Pascal Obispo,276.3,0.561,0.378,1992ø
Assassine,Un Jour Comme Aujourd' Hui,Pascal Obispo,258.1,0.561,0.378,1994ø
Amen,Les Fleurs Du Bien,Pascal Obispo,284.6,0.561,0.378,2006ø
A Tout Prendre,Plus Que Tout Au Monde,Pascal Obispo,237.1,0.561,0.378,1992ø
1980,1980,Pascal Obispo,443.3,0.561,0.378,2006ø
