Wicked Circle,Wounds Wide Open,TO|DIE|FOR,235.3,0.589,0.409,2006ø
Veiled,Epilogue,TO|DIE|FOR,187.0,0.589,0.409,2001ø
Vail Of Tears,Epilogue,TO|DIE|FOR,226.8,0.589,0.409,2001ø
Under A Velvet Sky,Wounds Wide Open,TO|DIE|FOR,164.3,0.589,0.409,2006ø
Too much ain't enough,Jaded,TO|DIE|FOR,287.5,0.589,0.409,2003ø
Together Complete,All eternity,TO|DIE|FOR,297.0,0.589,0.409,1999ø
This World Is Made For Me,IV,TO|DIE|FOR,223.8,0.589,0.409,2005ø
The Unknown,Jaded,TO|DIE|FOR,348.7,0.589,0.409,2001ø
The Quiet Room,Wounds Wide Open,TO|DIE|FOR,225.9,0.589,0.409,2006ø
Sorrow Remains,Wounds Wide Open,TO|DIE|FOR,264.0,0.589,0.409,2006ø
Silence Tells More,Jaded,TO|DIE|FOR,320.8,0.589,0.409,2003ø
Sea Of Sin,All eternity,TO|DIE|FOR,276.2,0.589,0.409,1999ø
Scar Diary,Wounds Wide Open,TO|DIE|FOR,244.3,0.589,0.409,2006ø
Rimed With Frost,All eternity,TO|DIE|FOR,325.4,0.589,0.409,1999ø
Our Candle Melts Away,All eternity,TO|DIE|FOR,297.8,0.589,0.409,1999ø
No Turning Back,IV,TO|DIE|FOR,256.7,0.589,0.409,2005ø
New Heaven,Wounds Wide Open,TO|DIE|FOR,240.6,0.589,0.409,2006ø
Mary-ann,All eternity,TO|DIE|FOR,274.2,0.589,0.409,1999ø
Loveless,All eternity,TO|DIE|FOR,175.6,0.589,0.409,1999ø
Live In You,All eternity,TO|DIE|FOR,245.2,0.589,0.409,1999ø
Little Deaths,IV,TO|DIE|FOR,251.2,0.589,0.409,2005ø
Liquid Lies,Wounds Wide Open,TO|DIE|FOR,233.1,0.589,0.409,2006ø
Like Never Before,Like Never Before,TO|DIE|FOR,235.0,0.589,0.409,2006ø
Last Breath,IV,TO|DIE|FOR,156.5,0.589,0.409,2005ø
Lacrimarum,All eternity,TO|DIE|FOR,316.7,0.589,0.409,1999ø
Jaded,Jaded,TO|DIE|FOR,271.1,0.589,0.409,2003ø
In The Heat Of The Night,All eternity,TO|DIE|FOR,281.4,0.589,0.409,2000ø
In Solitude,Epilogue,TO|DIE|FOR,298.1,0.589,0.409,2001ø
Immortal Love,Epilogue,TO|DIE|FOR,227.5,0.589,0.409,2001ø
Hollow Heart,Epilogue,TO|DIE|FOR,235.5,0.589,0.409,2001ø
Guilt Ridden State,Wounds Wide Open,TO|DIE|FOR,220.1,0.589,0.409,2006ø
Frail Without You,Epilogue,TO|DIE|FOR,213.0,0.589,0.409,2001ø
Fragmented,IV,TO|DIE|FOR,241.1,0.589,0.409,2005ø
Fall Strains,Jaded,TO|DIE|FOR,198.7,0.589,0.409,2003ø
Endlessly,IV,TO|DIE|FOR,329.0,0.589,0.409,2005ø
Dying Embers,Jaded,TO|DIE|FOR,230.8,0.589,0.409,2003ø
Dripping Down Red,All eternity,TO|DIE|FOR,196.0,0.589,0.409,1999ø
Crimson Twins,Epilogue,TO|DIE|FOR,233.1,0.589,0.409,2001ø
Chaotic Me,IV,TO|DIE|FOR,201.8,0.589,0.409,2005ø
Autumn Forever,IV,TO|DIE|FOR,271.3,0.589,0.409,2005ø
Anos De Dolor,Jaded,TO|DIE|FOR,239.0,0.589,0.409,2005ø
(I Just) Died In Your Arms,Jaded,TO|DIE|FOR,267.4,0.589,0.409,2003ø
