Tunnel of Set XVII,Demonoir,1349,233.1,0.662,0.44,2010ø
Tunnel of Set XVI,Demonoir,1349,64.7,0.662,0.44,2010ø
Tunnel of Set XV,Demonoir,1349,75.7,0.662,0.44,2010ø
Tunnel of Set XIV,Demonoir,1349,62.8,0.662,0.44,2010ø
Tunnel of Set XIII,Demonoir,1349,39.7,0.662,0.44,2010ø
Tunnel of Set XII,Demonoir,1349,61.0,0.662,0.44,2010ø
Tunnel of Set XI,Demonoir,1349,92.6,0.662,0.44,2010ø
The Devil of the Desert,Demonoir,1349,390.0,0.662,0.44,2010ø
Slaves to Slaughter,Maggot Fetus... Teeth Like Thorns,1349,534.4,0.662,0.44,2005ø
Satanic Propaganda,Maggot Fetus... Teeth Like Thorns,1349,194.5,0.662,0.44,2003ø
Manifest,Maggot Fetus... Teeth Like Thorns,1349,306.3,0.662,0.44,2003ø
I Am Abomination,Maggot Fetus... Teeth Like Thorns,1349,253.3,0.662,0.44,2005ø
Chasing Dragons,Maggot Fetus... Teeth Like Thorns,1349,393.4,0.662,0.44,2004ø
When I Was Flesh,Demonoir,1349,345.0,0.662,0.432,2010ø
Uncreation,Revelations of the Black Flame,1349,419.1,0.662,0.432,2009ø
To Rottendom,Hellfire,1349,352.2,0.662,0.432,2005ø
Solitude,Revelations of the Black Flame,1349,218.1,0.662,0.432,2009ø
Set the Controls for the Heart of the Sun,Revelations of the Black Flame,1349,372.6,0.662,0.432,2009ø
Serpentine Sibilance,Revelations of the Black Flame,1349,274.9,0.662,0.432,2009ø
Sculptor of Flesh,Hellfire,1349,198.0,0.662,0.432,2005ø
Psalm 7:77,Demonoir,1349,342.0,0.662,0.432,2010ø
Pandemonium War Bells,Demonoir,1349,468.6,0.662,0.432,2010ø
Nathicana,Hellfire,1349,279.3,0.662,0.432,2005ø
Maggot Fetus... Teeth Like Thorns,Revelations of the Black Flame,1349,226.4,0.662,0.432,2009ø
Invocation,Revelations of the Black Flame,1349,373.4,0.662,0.432,2009ø
Horns,Revelations of the Black Flame,1349,184.6,0.662,0.432,2009ø
From the Deeps,Hellfire,1349,385.4,0.662,0.432,2005ø
Demonoir,Demonoir,1349,378.9,0.662,0.432,2010ø
Celestial Deconstruction,Hellfire,1349,465.6,0.662,0.432,2005ø
Atomic Chapel,Demonoir,1349,384.5,0.662,0.432,2010ø
At the Gate...,Revelations of the Black Flame,1349,412.4,0.662,0.432,2009ø
