Poetry,Buddha-Lounge,Roedelius,227.9,0.493,0.382,2001ø
Toujours,Jardin Au Fou,Roedelius,179.1,0.528,0.359,1979ø
Tempera,Jardin Au Fou,Roedelius,441.8,0.528,0.359,1979ø
Rue Fortune II (Remix),Jardin Au Fou,Roedelius,147.7,0.528,0.359,1979ø
Rue Fortune,Jardin Au Fou,Roedelius,140.6,0.528,0.359,1979ø
Le Jardin II (Remix),Jardin Au Fou,Roedelius,305.7,0.528,0.359,1979ø
Gloria Dolores,Jardin Au Fou,Roedelius,254.0,0.528,0.359,1979ø
Glass from Jasper,Hotel Lotus,Roedelius,270.9,0.528,0.359,1996ø
Fou Fou,Jardin Au Fou,Roedelius,240.4,0.528,0.359,1979ø
Final,Jardin Au Fou,Roedelius,52.2,0.528,0.359,1979ø
Etoiles II (Remix),Jardin Au Fou,Roedelius,234.8,0.528,0.359,1979ø
Etoiles,Jardin Au Fou,Roedelius,236.5,0.528,0.359,1979ø
Cafe Central,Jardin Au Fou,Roedelius,217.4,0.528,0.359,1979ø
Balsam,Jardin Au Fou,Roedelius,138.5,0.528,0.359,1979ø
