You Send Me (Live),Live In Montreux,Rachelle Ferrell,318.4,0.587,0.416,2003ø
You Don't Know What Love Is,First Instrument,Rachelle Ferrell,312.9,0.546,0.416,1990ø
You Can't Get (Until You Learn To Start Giving),Rachelle Ferrell,Rachelle Ferrell,226.2,0.587,0.416,1992ø
With Open Arms,Rachelle Ferrell,Rachelle Ferrell,383.2,0.587,0.416,1992ø
WITH EVERY BREATH I TAKE,First Instrument,Rachelle Ferrell,384.4,0.587,0.416,1990ø
Will You Remember Me?,Individuality (Can I Be Me?),Rachelle Ferrell,377.5,0.587,0.416,2000ø
Why You Wanna Mess It All Up?,Individuality (Can I Be Me?),Rachelle Ferrell,330.7,0.587,0.416,2000ø
Welcome To My Love,Rachelle Ferrell,Rachelle Ferrell,339.5,0.587,0.416,1992ø
Waiting,Rachelle Ferrell,Rachelle Ferrell,362.1,0.587,0.416,1992ø
Sista,Individuality (Can I Be Me?),Rachelle Ferrell,239.3,0.587,0.416,2000ø
Sentimental,Rachelle Ferrell,Rachelle Ferrell,219.7,0.587,0.416,1992ø
Satisfied,Individuality (Can I Be Me?),Rachelle Ferrell,332.1,0.587,0.416,2000ø
Run To Me,Individuality (Can I Be Me?),Rachelle Ferrell,244.8,0.587,0.416,2000ø
Reflections Of My Heart,Individuality (Can I Be Me?),Rachelle Ferrell,310.6,0.587,0.416,2000ø
PRAYER DANCE,First Instrument,Rachelle Ferrell,360.4,0.587,0.416,1990ø
Peace On Earth,Rachelle Ferrell,Rachelle Ferrell,259.3,0.587,0.416,1992ø
It Only Took A Minute,Rachelle Ferrell,Rachelle Ferrell,282.4,0.587,0.416,1992ø
Individuality (Can I Be Me?),Individuality (Can I Be Me?),Rachelle Ferrell,293.1,0.587,0.416,2000ø
INCHWORM,First Instrument,Rachelle Ferrell,140.6,0.587,0.416,1990ø
I'm Special,Rachelle Ferrell,Rachelle Ferrell,370.2,0.587,0.416,1992ø
I Know You Love Me,Rachelle Ferrell,Rachelle Ferrell,236.4,0.587,0.416,1992ø
I Gotta Go,Individuality (Can I Be Me?),Rachelle Ferrell,306.7,0.587,0.416,2000ø
I Forgive You,Individuality (Can I Be Me?),Rachelle Ferrell,330.4,0.587,0.416,2000ø
I Can Explain,Individuality (Can I Be Me?),Rachelle Ferrell,482.2,0.587,0.416,2000ø
Gaia,Individuality (Can I Be Me?),Rachelle Ferrell,344.1,0.587,0.416,2000ø
EXTENSIONS,First Instrument,Rachelle Ferrell,298.1,0.587,0.416,1990ø
DON'T WASTE YOUR TIME,First Instrument,Rachelle Ferrell,315.0,0.587,0.416,1990ø
Could've Fooled Me,Rachelle Ferrell,Rachelle Ferrell,278.3,0.587,0.416,1992ø
BYE BYE BLACKBIRD,First Instrument,Rachelle Ferrell,263.4,0.587,0.416,1990ø
'Til You Come Back To Me,Great R&B,Rachelle Ferrell,375.8,0.587,0.416,1992ø
