Tufi Meme,The Ultimate Fuzz Collection - Volume One,Los Natas,356.3,0.56,0.394,1999ø
Planeta Solitario,Corsario Negro,Los Natas,284.0,0.56,0.394,2002ø
Patas De Elefante,Corsario Negro,Los Natas,336.7,0.56,0.394,2002ø
Lei Motive,Corsario Negro,Los Natas,229.6,0.56,0.394,2002ø
Hey Jimmy,Corsario Negro,Los Natas,156.3,0.56,0.394,2002ø
El Gauchito,Corsario Negro,Los Natas,60.0,0.56,0.394,2002ø
El Cono Del Encono,Corsario Negro,Los Natas,343.8,0.56,0.394,2002ø
Corsario Negro,Corsario Negro,Los Natas,462.6,0.56,0.394,2002ø
Contemplando La Niebla,Corsario Negro,Los Natas,228.1,0.56,0.394,2002ø
Bumburi,Corsario Negro,Los Natas,185.4,0.56,0.394,2002ø
Americano,Corsario Negro,Los Natas,274.8,0.56,0.394,2002ø
