You're No Good,The Wonderful World of the 60's - 100 Hit Songs,The Swinging Blue Jeans,135.4,0.563,0.379,1964ø
What Can I Do Today,The EMI Years - Best Of The Swinging Blue Jeans,The Swinging Blue Jeans,138.4,0.563,0.379,1966ø
Tutti Frutti (Mono),25 Greatest Hits,The Swinging Blue Jeans,121.1,0.563,0.379,1998ø
Tremblin',25 Greatest Hits,The Swinging Blue Jeans,133.2,0.563,0.379,1998ø
Three Little Fishes (Commercial Test),25 Greatest Hits,The Swinging Blue Jeans,131.8,0.563,0.379,1998ø
The Hippy Hippy Shake,25 Greatest Hits,The Swinging Blue Jeans,105.6,0.563,0.379,1979ø
That's The Way It Goes (Mono),25 Greatest Hits,The Swinging Blue Jeans,159.9,0.563,0.379,1998ø
Shaking Feeling,The Hippy Hippy Shake,The Swinging Blue Jeans,126.5,0.563,0.379,1998ø
Shakin' All Over,25 Greatest Hits,The Swinging Blue Jeans,124.8,0.563,0.379,1995ø
Sandy,The Best Of 1963-1966,The Swinging Blue Jeans,151.7,0.563,0.379,1995ø
Promise You'll Tell Her,25 Greatest Hits,The Swinging Blue Jeans,130.0,0.563,0.379,1995ø
Now The Summer's Gone,25 Greatest Hits,The Swinging Blue Jeans,166.7,0.563,0.379,1995ø
Make Me Know You're Mine,The EMI Years - Best Of The Swinging Blue Jeans,The Swinging Blue Jeans,150.2,0.563,0.379,1998ø
Lawdy Miss Clawdy (Mono),25 Greatest Hits,The Swinging Blue Jeans,103.4,0.563,0.379,1998ø
It's Too Late Now,The Hippy Hippy Shake,The Swinging Blue Jeans,112.6,0.563,0.379,1993ø
It's All Over Now (Mono),25 Greatest Hits,The Swinging Blue Jeans,120.2,0.563,0.379,1998ø
It Isn't There,25 Greatest Hits,The Swinging Blue Jeans,136.6,0.563,0.379,1995ø
I'm Gonna Have You,At Abbey Road,The Swinging Blue Jeans,142.9,0.563,0.379,1998ø
Hippy Hippy Shake,Wedding Party,The Swinging Blue Jeans,106.4,0.563,0.379,1963ø
Good Golly Miss Molly,At Abbey Road,The Swinging Blue Jeans,154.1,0.563,0.379,1988ø
Don't Make Me Over,The Hippy Hippy Shake,The Swinging Blue Jeans,169.1,0.563,0.379,1966ø
Do You Know,The Hippy Hippy Shake,The Swinging Blue Jeans,146.5,0.563,0.379,1995ø
Do You Believe In Magic,At Abbey Road,The Swinging Blue Jeans,133.5,0.563,0.379,1998ø
Crazy 'Bout My Baby,25 Greatest Hits,The Swinging Blue Jeans,166.4,0.563,0.379,1995ø
Angie,25 Greatest Hits,The Swinging Blue Jeans,104.6,0.563,0.379,1995ø
