Wild Robots Power Up,A Psychedelic Guide to Monsterism Island,Gruff Rhys,257.0,0.607,0.448,2009ø
This Is Just The Beginning,Candylion,Gruff Rhys,50.7,0.607,0.448,2007ø
The Court Of King Arthur,Candylion,Gruff Rhys,204.5,0.607,0.448,2007ø
Painting People Blue,Candylion,Gruff Rhys,174.0,0.607,0.448,2007ø
Now That The Feeling Has Gone,Candylion,Gruff Rhys,181.4,0.607,0.448,2006ø
Lonsome Words,Candylion,Gruff Rhys,175.0,0.607,0.448,2007ø
Gyrru Gyrru Gyrru,Candylion,Gruff Rhys,197.4,0.607,0.448,2007ø
Ffrwydriad yn y ffurfafen,Candylion,Gruff Rhys,160.3,0.607,0.448,2007ø
Cycle Of Violence,Candylion,Gruff Rhys,176.8,0.607,0.448,2007ø
Con Carino,Candylion,Gruff Rhys,138.3,0.607,0.448,2006ø
Candylion,Candylion,Gruff Rhys,151.5,0.607,0.448,2006ø
Beacon In The darkness,Candylion,Gruff Rhys,198.6,0.607,0.448,2007ø
