Will You Love Me Tomorrow?,Fill It! - Songs You Must Have Heard,The Shirelles,161.1,0.662,0.379,1992ø
Will You Love Me Tomorrow,Dreamboats & Petticoats 2,The Shirelles,159.8,0.662,0.379,1960ø
What A Sweet Thing That Was,Spotlight On Faron Young ,The Shirelles,153.4,0.662,0.379,1986ø
Welcome Home Baby,Best of The Shirelles,The Shirelles,154.7,0.662,0.379,1991ø
Tonight's The Night,Spotlight On Faron Young ,The Shirelles,121.2,0.662,0.379,1961ø
Sha-La-La,Best of The Shirelles,The Shirelles,147.6,0.662,0.379,1986ø
Ooh Poo Pah Doo,Best of The Shirelles,The Shirelles,138.0,0.662,0.379,1963ø
Only Time Will Tell,Best of The Shirelles,The Shirelles,165.9,0.662,0.379,1963ø
Not for All the Money in the World,Best of The Shirelles,The Shirelles,145.0,0.662,0.379,1999ø
Maybe Tonight,Best of The Shirelles,The Shirelles,186.4,0.662,0.379,1986ø
Mama said,Music History - Girls_ Girls_ Girls,The Shirelles,101.7,0.662,0.379,1961ø
It's a Mad_ Mad_ Mad_ Mad World,Best of The Shirelles,The Shirelles,216.8,0.662,0.379,1995ø
I Met Him On A Sunday,Because I Said So (OST),The Shirelles,132.9,0.662,0.379,1987ø
Everybody Loves a Lover,Best of The Shirelles,The Shirelles,162.4,0.662,0.379,1986ø
Don't Say Goodnight and Mean Goodbye,Best of The Shirelles,The Shirelles,161.7,0.662,0.379,1963ø
Dedicated To the One I Love,Doo Wop Classics Vol. 10,The Shirelles,128.2,0.662,0.379,1960ø
Boys,Spotlight On Faron Young ,The Shirelles,131.1,0.662,0.379,1960ø
Blue Holiday,Best of The Shirelles,The Shirelles,202.2,0.662,0.379,1961ø
Big John (Ain't You Gonna Marry Me),Best of The Shirelles,The Shirelles,140.1,0.662,0.379,1987ø
Baby it's you,Arnie's Record Store - Songs To Sell Volume 11,The Shirelles,166.2,0.662,0.379,1962ø
