Van Laack Vacuum (Cut),Bruxelles,Efdemin,519.5,0.622,0.495,2005ø
Stately_ Yes,Efdemin,Efdemin,357.0,0.622,0.495,2007ø
Salix Alba,Efdemin,Efdemin,489.4,0.622,0.495,2007ø
Lohn & Brot,Marc Romboy pres. Musica Electronica 2,Efdemin,491.8,0.622,0.495,2007ø
Le Ratafia,Efdemin,Efdemin,363.0,0.622,0.495,2007ø
Knocking At The Grand,Efdemin,Efdemin,308.3,0.622,0.495,2007ø
Just A Track,V. A. Just A Track / Love,Efdemin,530.4,0.622,0.495,2007ø
Joni,Dial / Ladomat 2000 present - Hamburgeins,Efdemin,373.9,0.622,0.495,2001ø
Further Back,Efdemin,Efdemin,418.5,0.622,0.495,2007ø
Float,Cocoon Compilation H,Efdemin,363.8,0.622,0.495,2008ø
Bergwein,V.A. - Bergwein,Efdemin,466.4,0.622,0.495,2007ø
Back To School,Efdemin,Efdemin,364.5,0.622,0.495,2007ø
Acid Bells,Efdemin,Efdemin,367.7,0.622,0.495,2007ø
