You Won't See Me,Hooba Dooba,Paul Brady,279.2,0.532,0.345,2006ø
The World Is What You Make It,The Paul Brady Songbook,Paul Brady,263.1,0.532,0.345,2003ø
The Lakes Of Pontchartrain,Transatlantic Sessions - Series 3: Volume One,Paul Brady,344.4,0.532,0.345,2001ø
The Island,Ireland's Finest,Paul Brady,310.7,0.532,0.345,1986ø
The Homes Of Donegal,The Paul Brady Songbook,Paul Brady,473.7,0.532,0.345,1986ø
The Hawana Way,The Paul Brady Songbook,Paul Brady,236.7,0.532,0.345,2003ø
Oh What A World,The Paul Brady Songbook,Paul Brady,263.3,0.532,0.345,2001ø
Nobody Knows,The Paul Brady Songbook,Paul Brady,275.1,0.532,0.345,1991ø
Living For The Corporation,Ireland's Finest,Paul Brady,277.5,0.532,0.345,2005ø
I Believe In Magic,The Paul Brady Songbook,Paul Brady,263.3,0.532,0.345,2001ø
Helpless Heart,The Paul Brady Songbook,Paul Brady,273.7,0.532,0.345,1984ø
Follow On,The Paul Brady Songbook,Paul Brady,288.5,0.532,0.345,1986ø
Don't Try to Please Me,Transatlantic Sessions - Series 3: Volume Two,Paul Brady,213.3,0.532,0.345,2005ø
Crazy Dreams,The Paul Brady Songbook,Paul Brady,326.5,0.532,0.345,1984ø
Blue World,The Paul Brady Songbook,Paul Brady,272.7,0.532,0.345,1993ø
