Underground Zero (feat. Chase Phoenix),1977,Soklak,255.1,0.527,0.413,2006ø
Sonore Cyanure (feat. Siaka),1977,Soklak,286.0,0.527,0.413,2006ø
Seventies Team (feat. Sept),1977,Soklak,286.7,0.527,0.413,2006ø
Politricard,1977,Soklak,226.3,0.527,0.413,2006ø
Pas De Place,1977,Soklak,252.8,0.527,0.413,2006ø
Outro From Zeltron,1977,Soklak,191.5,0.527,0.413,2006ø
Libre Style,1977,Soklak,111.1,0.527,0.413,2006ø
Instable Equilibre,1977,Soklak,221.8,0.527,0.413,2006ø
C'est Pas Quand,1977,Soklak,140.2,0.527,0.413,2006ø
Antipodes,1977,Soklak,282.9,0.527,0.413,2006ø
After 'L',1977,Soklak,255.0,0.527,0.413,2006ø
Adrenaline,1977,Soklak,258.5,0.527,0.413,2006ø
14h00 Du Mat',1977,Soklak,135.2,0.527,0.413,2006ø
