People,Vince & Bola,Vince Guaraldi | Bola Sete,234.3,0.578,0.304,1966ø
O Morro Nao Tem Vez,Vince & Bola,Vince Guaraldi | Bola Sete,530.7,0.578,0.304,2000ø
Nobody Else,Vince & Bola,Vince Guaraldi | Bola Sete,144.2,0.578,0.304,1966ø
More,Vince & Bola,Vince Guaraldi | Bola Sete,276.5,0.578,0.304,2000ø
Mambossa,Vince & Bola,Vince Guaraldi | Bola Sete,518.7,0.353,0.304,1964ø
Mambeando,From All Sides,Vince Guaraldi | Bola Sete,254.0,0.578,0.304,1964ø
I'm A Looser,Vince & Bola,Vince Guaraldi | Bola Sete,158.1,0.578,0.304,2000ø
Ginza Samba,Greatest Hits,Vince Guaraldi | Bola Sete,325.9,0.578,0.304,1964ø
El Matador,Vince & Bola,Vince Guaraldi | Bola Sete,273.9,0.353,0.304,1966ø
Days of Wine and Roses,Greatest Hits,Vince Guaraldi | Bola Sete,323.5,0.578,0.304,1964ø
Casaba,Vince & Bola,Vince Guaraldi | Bola Sete,474.7,0.578,0.304,1964ø
