Zero Tolerance,Rollin' Stoned,Kottonmouth Kings,188.6,0.681,0.563,2002ø
Whos the Crimina (feat. Humble Gods),Fire It Up,Kottonmouth Kings,182.9,0.681,0.563,2004ø
Wasted,Kottonmouth Kings,Kottonmouth Kings,233.7,0.681,0.563,2005ø
Time To Get High,Cloud Nine Instrumentals,Kottonmouth Kings,221.7,0.681,0.563,2007ø
This My Club Song,Koast II Koast,Kottonmouth Kings,207.9,0.681,0.563,2006ø
The Lottery,High Society,Kottonmouth Kings,275.0,0.681,0.563,2000ø
Suburban Life,Greatest Highs,Kottonmouth Kings,214.0,0.681,0.563,1997ø
Round & Round,High Society,Kottonmouth Kings,206.4,0.681,0.563,2000ø
Reefer Madness,Long Live The Kings,Kottonmouth Kings,268.6,0.681,0.563,2010ø
PTB,Cloud Nine Instrumentals,Kottonmouth Kings,93.9,0.681,0.563,2007ø
Party Girls,Long Live The Kings,Kottonmouth Kings,185.5,0.681,0.563,2010ø
Outcast,Fire It Up,Kottonmouth Kings,197.0,0.681,0.563,2004ø
On The Run,Rollin' Down the Highway,Kottonmouth Kings,257.4,0.681,0.563,2001ø
No Regrets,Koast 2 Koast - Instrumental,Kottonmouth Kings,197.4,0.681,0.563,2006ø
No Future,Greatest Highs,Kottonmouth Kings,246.5,0.681,0.563,2008ø
No Escape,Cloud Nine Instrumentals,Kottonmouth Kings,219.3,0.681,0.563,2007ø
Mushroom Cloud (feat. The Dirtball),Hidden Stash 4-20,Kottonmouth Kings,198.2,0.681,0.563,2009ø
Miss Smokey,Hidden Stash 4-20,Kottonmouth Kings,227.4,0.681,0.563,2008ø
Marijuana,Cloud Nine Instrumentals,Kottonmouth Kings,212.3,0.681,0.563,2007ø
Lucky Day,Long Live The Kings,Kottonmouth Kings,223.2,0.681,0.563,2010ø
Live For Today,The Kottonmouth Xperience,Kottonmouth Kings,247.6,0.681,0.563,2004ø
Litas,Cloud Nine Instrumentals,Kottonmouth Kings,232.8,0.681,0.563,2007ø
Kingspade,Joint Venture,Kottonmouth Kings,53.8,0.681,0.563,2005ø
King's Blend,High Society,Kottonmouth Kings,242.8,0.681,0.563,2000ø
Get U (Bonus track from Daddy X's Organic Soul),Fire It Up,Kottonmouth Kings,228.8,0.681,0.563,2004ø
Get Cash,Joint Venture,Kottonmouth Kings,244.1,0.681,0.563,2005ø
Everybody Move,Koast 2 Koast - Instrumental,Kottonmouth Kings,231.8,0.681,0.563,2006ø
Elevated Sounds,High Society,Kottonmouth Kings,263.4,0.681,0.563,2000ø
Bump,Greatest Highs,Kottonmouth Kings,232.5,0.681,0.563,1998ø
Brain on Drugs,Hidden Stash II,Kottonmouth Kings,65.3,0.681,0.563,2001ø
Bottoms Up (Last Call Remix),Joint Venture,Kottonmouth Kings,219.8,0.681,0.563,2005ø
Bong Toke,Koast II Koast,Kottonmouth Kings,256.4,0.681,0.563,2006ø
