Yaye Boy,African Salsa,Africando,425.1,0.196,0.348,2001ø
Yay Boy,Volume 2 - Tierra Tradicional,Africando,242.6,0.563,0.348,1994ø
Xale Bile,Volume 2 - Tierra Tradicional,Africando,337.3,0.563,0.348,1994ø
Walo,Gombo Salsa,Africando,306.3,0.563,0.348,1996ø
Tierra Tradicional (Remix),Volume 2 - Tierra Tradicional,Africando,251.9,0.563,0.348,1994ø
Tierra Tradicional,Volume 2 - Tierra Tradicional,Africando,253.5,0.563,0.348,1994ø
Tiembela,Martina,Africando,236.7,0.563,0.348,2003ø
Temedi,Martina,Africando,318.9,0.563,0.348,2003ø
Te Voy A matar ... Con Amor,Baloba!,Africando,291.6,0.563,0.348,1998ø
Sama Thiel,Volume 2 - Tierra Tradicional,Africando,277.3,0.563,0.348,1994ø
Sama Rew,Volume 2 - Tierra Tradicional,Africando,261.3,0.563,0.348,1994ø
Sakhar,Gombo Salsa,Africando,308.3,0.563,0.348,1996ø
Reference,Martina,Africando,280.8,0.563,0.348,2003ø
Paquita,Gombo Salsa,Africando,251.8,0.563,0.348,1996ø
Ndiabaane,Volume 2 - Tierra Tradicional,Africando,426.5,0.563,0.348,1994ø
Mborin,Gombo Salsa,Africando,242.2,0.563,0.348,1996ø
Mario,Ketukuba,Africando,518.9,0.563,0.348,2006ø
Maral,Gombo Salsa,Africando,370.2,0.563,0.348,1996ø
Malawoo,Ketukuba,Africando,294.8,0.563,0.348,2006ø
Lindas Africanas,Martina,Africando,460.5,0.563,0.348,2003ø
Ken Moussoul Guis Li,Volume 2 - Tierra Tradicional,Africando,275.4,0.563,0.348,1994ø
Katiana,Baloba!,Africando,277.0,0.563,0.348,1998ø
Huenouhwo,Baloba!,Africando,280.9,0.563,0.348,1998ø
Guarachea Mi Chula,Baloba!,Africando,250.3,0.563,0.348,1998ø
Grog Moin,Gombo Salsa,Africando,279.4,0.563,0.348,1996ø
Gombo,Gombo Salsa,Africando,312.5,0.563,0.348,1996ø
Dioumte,Martina,Africando,322.5,0.563,0.348,2003ø
Diaraf,Gombo Salsa,Africando,339.7,0.563,0.348,1996ø
Demal,Baloba!,Africando,303.4,0.563,0.348,1998ø
Dalaka,Baloba!,Africando,303.0,0.563,0.348,1998ø
Dagamasi,Gombo Salsa,Africando,337.1,0.563,0.348,1996ø
Dacefo,Baloba!,Africando,230.1,0.563,0.348,1998ø
Colombia_ mi corazon,Gombo Salsa,Africando,323.2,0.563,0.348,1996ø
Azo Nkplon,Martina,Africando,311.8,0.563,0.348,2003ø
Ayo Nene,Baloba!,Africando,305.0,0.563,0.348,1998ø
Apolo,Gombo Salsa,Africando,269.0,0.563,0.348,1996ø
Aminata,Baloba!,Africando,305.1,0.563,0.348,1998ø
Am Saaxul,Baloba!,Africando,255.1,0.563,0.348,1998ø
Abibou,Martina,Africando,334.3,0.563,0.348,2003ø
