Rolling The Stones,Rebel Action,Le Mans,171.7,0.526,0.486,2006ø
Pescado Y Vino,Le Mans,Le Mans,123.6,0.526,0.486,1993ø
Perezosa Y Tonta,Entresemana,Le Mans,111.6,0.526,0.486,1994ø
Paramour,Saudade,Le Mans,193.9,0.526,0.486,1996ø
Orlando,Saudade,Le Mans,326.7,0.526,0.486,1996ø
Mejor Dormir,Entresemana,Le Mans,155.2,0.526,0.486,1994ø
Manzanas Y Naranjas,Le Mans,Le Mans,83.4,0.526,0.486,1993ø
Juan,Le Mans,Le Mans,76.3,0.526,0.486,1993ø
H.E.L.L.O.,Le Mans,Le Mans,254.0,0.526,0.486,1993ø
Entresemana,Entresemana,Le Mans,180.2,0.526,0.486,1994ø
El Cielo,Le Mans,Le Mans,84.3,0.526,0.486,1993ø
Desacierto,Saudade,Le Mans,384.9,0.526,0.486,1996ø
Con Peru En La Playa,Entresemana,Le Mans,130.8,0.526,0.486,1994ø
Astronautas,Le Mans,Le Mans,84.6,0.526,0.486,1993ø
Al Bulevar,Le Mans,Le Mans,74.0,0.526,0.486,1993ø
