That's Why,Gettin' It (Album Number Ten),Too $hort,322.2,0.683,0.526,1996ø
Short Dog's In The House,Short Dog's In The House,Too $hort,362.1,0.683,0.526,1990ø
Playboy $hort ll,Born To Mack,Too $hort,447.6,0.683,0.526,1988ø
Paula & Janet,Short Dog's In The House,Too $hort,157.9,0.683,0.526,1990ø
Mack Attack,Born To Mack,Too $hort,352.4,0.683,0.526,1988ø
Lil' Shorty,Still Blowin',Too $hort,208.4,0.683,0.526,2010ø
In The Oaktown,Short Dog's In The House,Too $hort,277.5,0.683,0.526,1990ø
Hard On The Boulevard,Short Dog's In The House,Too $hort,384.9,0.683,0.526,1990ø
Dope Fiend Beat,Born To Mack,Too $hort,391.3,0.683,0.526,1988ø
Don't Act Like That,Married To The Game,Too $hort,240.0,0.683,0.526,2003ø
Be My Dirty Love,You Nasty,Too $hort,237.8,0.683,0.526,1999ø
