The Last Thing We See,Turning Towards Us,Redshift,161.0,0.514,0.378,2008ø
Static,Ether,Redshift,312.5,0.514,0.378,1998ø
State 2,Wild 2,Redshift,475.7,0.514,0.378,2006ø
Spin,Redshift,Redshift,504.4,0.514,0.378,1996ø
Siren Part 5,Siren,Redshift,178.4,0.514,0.378,2002ø
Siren Part 2,Siren,Redshift,156.7,0.514,0.378,2002ø
Siren Part 1,Siren,Redshift,163.6,0.514,0.378,2002ø
Savage Messiah,Halo,Redshift,421.4,0.514,0.378,2002ø
Panzer,Halo,Redshift,244.3,0.514,0.378,2002ø
Nightshift,Last,Redshift,255.8,0.514,0.378,2007ø
Long Way Out,Last,Redshift,219.5,0.514,0.378,2007ø
Leave the Light On,Oblivion,Redshift,355.8,0.514,0.378,2004ø
High Noon,Downtime,Redshift,406.1,0.514,0.378,2001ø
Different Light,Halo,Redshift,156.7,0.514,0.378,2002ø
Chrysolite,Faultline,Redshift,269.8,0.514,0.378,2004ø
Cast Down,Toll,Redshift,385.5,0.514,0.378,2006ø
Bombers In the Desert,Siren,Redshift,478.4,0.514,0.378,1998ø
Bleed Part 5,Siren,Redshift,348.9,0.514,0.378,2002ø
Bleed Part 4,Siren,Redshift,575.1,0.514,0.378,2002ø
Bleed Part 2,Siren,Redshift,193.8,0.514,0.378,2002ø
All Things Bright,Downtime,Redshift,415.3,0.514,0.378,2001ø
