Track 7,Lazer Thrash,Dev|Null,260.9,0.483,0.363,2007ø
Symphonies Of Suckness,Lazer Thrash,Dev|Null,279.2,0.483,0.363,2007ø
Real Ultimate Power,Lazer Thrash,Dev|Null,226.8,0.483,0.363,2007ø
Rage Template,Monster Of Cock Rock Disco,Dev|Null,262.3,0.483,0.363,2009ø
Old Extra-Wanky Break Thing,Lazer Thrash,Dev|Null,139.7,0.483,0.363,2007ø
LCDNB,White Cock CD Compilation 1-4,Dev|Null,254.2,0.483,0.363,2006ø
I'd Rather Mainline Preperation H Than Listen To Your Shitty_ Shitty Music,Lazer Thrash,Dev|Null,233.0,0.483,0.363,2007ø
Hiphop2,Lazer Thrash,Dev|Null,200.8,0.483,0.363,2007ø
Hello Japan!!,Lazer Thrash,Dev|Null,153.4,0.483,0.363,2007ø
Goblin,Lazer Thrash,Dev|Null,237.7,0.483,0.363,2005ø
Banal Universe,Lazer Thrash,Dev|Null,342.3,0.483,0.363,2007ø
Alien Washcloth Tumor,Lazer Thrash,Dev|Null,230.1,0.483,0.363,2007ø
