Canto XXX,Radio Inferno,Andreas Ammer | FM Einheit,89.5,0.143,0.238,1993ø
Canto XXVIII,Radio Inferno,Andreas Ammer | FM Einheit,458.1,0.143,0.238,1993ø
Canto XXVII,Radio Inferno,Andreas Ammer | FM Einheit,157.4,0.143,0.238,1993ø
Canto XXVI,Radio Inferno,Andreas Ammer | FM Einheit,263.1,0.143,0.238,1993ø
Canto XXII,Radio Inferno,Andreas Ammer | FM Einheit,142.8,0.143,0.238,1993ø
Canto XXI,Radio Inferno,Andreas Ammer | FM Einheit,128.4,0.143,0.238,1993ø
Canto XX,Radio Inferno,Andreas Ammer | FM Einheit,166.5,0.143,0.238,1993ø
Canto XVIII,Radio Inferno,Andreas Ammer | FM Einheit,119.2,0.143,0.238,1993ø
Canto XVII,Radio Inferno,Andreas Ammer | FM Einheit,54.0,0.143,0.238,1993ø
Canto XVI,Radio Inferno,Andreas Ammer | FM Einheit,76.0,0.143,0.238,1993ø
Canto XIV,Radio Inferno,Andreas Ammer | FM Einheit,103.1,0.143,0.238,1993ø
Canto XII,Radio Inferno,Andreas Ammer | FM Einheit,100.3,0.143,0.238,1993ø
Canto VIII,Radio Inferno,Andreas Ammer | FM Einheit,48.6,0.143,0.238,1993ø
