You're Something Special To Me,Better Than The Beatles: A Tribute To The Shaggs,Optiganally Yours,154.2,0.536,0.339,2001ø
The Outer Space,Exclusively Talentmaker!,Optiganally Yours,260.0,0.536,0.339,2000ø
Rake,Exclusively Talentmaker!,Optiganally Yours,196.9,0.536,0.339,2000ø
Poodleman,Exclusively Talentmaker!,Optiganally Yours,141.7,0.536,0.339,2000ø
Oar,Exclusively Talentmaker!,Optiganally Yours,263.1,0.536,0.339,2000ø
I'm Bad At Sports,Exclusively Talentmaker!,Optiganally Yours,135.3,0.536,0.339,2000ø
Held,Exclusively Talentmaker!,Optiganally Yours,244.4,0.536,0.339,2000ø
Gepetto,Exclusively Talentmaker!,Optiganally Yours,201.5,0.536,0.339,2000ø
Figaro,Exclusively Talentmaker!,Optiganally Yours,216.4,0.536,0.339,2000ø
Ether,Exclusively Talentmaker!,Optiganally Yours,101.0,0.536,0.339,2000ø
Empire State Human,Reproductions: Songs Of The Human League,Optiganally Yours,190.8,0.536,0.339,2000ø
Donut,Exclusively Talentmaker!,Optiganally Yours,134.0,0.536,0.339,2000ø
