Vera Cruz,Courage,Milton Nascimento,189.5,0.607,0.421,1968ø
Veja Esta Cancao (See This Song)  (LP Version),Amigo,Milton Nascimento,359.0,0.607,0.421,1996ø
Um Gosto De Sol,Clube Da Esquina 1,Milton Nascimento,260.6,0.607,0.421,1972ø
Sunset Marquis 333 - Los Angeles (2003 Digital Remaster),Milton Nascimento,Milton Nascimento,139.9,0.607,0.421,1967ø
Simples (Simple)  (LP Version),Amigo,Milton Nascimento,258.3,0.607,0.421,1996ø
Sentinela,Milton Nascimento,Milton Nascimento,265.8,0.607,0.421,1969ø
San Vicente,Milagre Dos Peixes-Show Ao Vivo,Milton Nascimento,315.9,0.607,0.421,1972ø
Saidas E Bandeiras,4hero Presents&.Brazilika (Special Edition),Milton Nascimento,231.2,0.607,0.421,2006ø
Rosa Maria,Crooner,Milton Nascimento,296.2,0.607,0.421,1999ø
Para Lennon E Mccartney,Milton,Milton Nascimento,135.5,0.607,0.421,1970ø
Panis Angelicus (The Bread of Angels) (LP Version),Amigo,Milton Nascimento,388.8,0.607,0.421,1996ø
Outubro,Travessia,Milton Nascimento,213.6,0.607,0.421,1967ø
Os Tambores De Minas (Minas Drums) (Album Version),Nascimento,Milton Nascimento,218.3,0.607,0.421,1997ø
Morro Velho,Travessia,Milton Nascimento,274.3,0.607,0.421,1967ø
Levantados Do Chao (Ground Raised) (Album Version),Nascimento,Milton Nascimento,196.2,0.607,0.421,1997ø
Lamento No Morro,Crooner,Milton Nascimento,244.4,0.607,0.421,1999ø
Killing Me Softty,Crooner,Milton Nascimento,301.1,0.607,0.421,1999ø
Guardanapos De Papel (Paper Napkins) (Album Version),Nascimento,Milton Nascimento,324.7,0.607,0.421,1997ø
Gira_ Girou,Travessia,Milton Nascimento,218.9,0.607,0.421,1967ø
Frenesi,Crooner,Milton Nascimento,181.0,0.607,0.421,1999ø
Estrelada (Starry)  (LP Version),Amigo,Milton Nascimento,396.3,0.607,0.421,1996ø
Cuerpo Y Alma (Body And Soul) (Album Version),Nascimento,Milton Nascimento,239.3,0.607,0.421,1997ø
Catavento,Travessia,Milton Nascimento,131.4,0.607,0.421,1967ø
Cancao Da America (Unencounter) (LP Version),Amigo,Milton Nascimento,276.5,0.607,0.421,1996ø
Bola De Meia_ Bola De Gude (Stickball And Marbles),Amigo,Milton Nascimento,383.9,0.607,0.421,1996ø
Bicho Homem (Human Animal),Sentinela,Milton Nascimento,76.3,0.607,0.421,1980ø
Barulho de Trem,Crooner,Milton Nascimento,193.6,0.607,0.421,1999ø
