Traveler Winds,The Emerald Way,2002,342.7,0.613,0.386,2006ø
To Touch The Sky,The Sacred Well,2002,327.3,0.613,0.386,1997ø
The Ocean Dreams,The Sacred Well,2002,303.6,0.613,0.386,2002ø
The Dreaming Tree,River Of Stars,2002,306.6,0.613,0.386,2000ø
The Calling,Land Of Forever,2002,278.4,0.613,0.386,1998ø
Suddenly Yours,This Moment Now,2002,208.5,0.613,0.386,2003ø
Stella Maris,River Of Stars,2002,315.3,0.613,0.386,2000ø
Stardust,The Sacred Well,2002,272.4,0.613,0.386,2002ø
Spinning The Silk,Chrysalis,2002,335.5,0.613,0.386,1997ø
Soul Doors,The Emerald Way,2002,312.3,0.613,0.386,2006ø
Romancing The Moon,This Moment Now,2002,351.9,0.613,0.386,2003ø
Remember Now,The Emerald Way,2002,265.8,0.613,0.386,2006ø
Realms Of Splendor,Land Of Forever,2002,386.7,0.613,0.386,1998ø
Overheard in a Dream,The Emerald Way,2002,330.6,0.613,0.386,2006ø
Oceansky,Land Of Forever,2002,351.0,0.613,0.386,1998ø
Moment Of Love,This Moment Now,2002,236.5,0.613,0.386,2003ø
Magic Flower,iRelax: for Lovers,2002,316.0,0.613,0.386,1997ø
Lovers' Bridge,River Of Stars,2002,273.3,0.613,0.386,2000ø
Life Is,This Moment Now,2002,322.4,0.613,0.386,2003ø
Lady Of The Moon,The Sacred Well,2002,291.4,0.613,0.386,2002ø
Kindred Spirit,The Sacred Well,2002,281.0,0.613,0.386,2002ø
Journey Within,Chrysalis,2002,330.3,0.613,0.386,1997ø
Heaven And Earth,River Of Stars,2002,336.5,0.613,0.386,2000ø
Greater Than The Sun,Chrysalis,2002,327.6,0.613,0.386,1997ø
First Daughter Of The Moon,River Of Stars,2002,323.4,0.613,0.386,2000ø
Feast Of Immortals,Land Of Forever,2002,354.5,0.613,0.386,1998ø
Falling Through Time,Land Of Forever,2002,354.8,0.613,0.386,1998ø
Even Now,This Moment Now,2002,256.1,0.613,0.386,2003ø
Dreaming Of You,This Moment Now,2002,240.7,0.613,0.386,2003ø
Dream Come True,Chrysalis,2002,354.5,0.613,0.386,1997ø
Dance With A Princess,Land Of Forever,2002,367.0,0.613,0.386,1998ø
Cocoon,Chrysalis,2002,284.6,0.613,0.386,1997ø
Chrysalis,Chrysalis,2002,334.2,0.613,0.386,1997ø
Bliss,This Moment Now,2002,248.7,0.613,0.386,2003ø
A Gift Of Life,Chrysalis,2002,273.4,0.613,0.386,1997ø
A Gate Of Dreams,This Moment Now,2002,274.4,0.613,0.386,2003ø
