Tree,Touch 25,Fennesz,200.2,0.679,0.449,2006ø
Transit,Venice,Fennesz,299.2,0.679,0.449,2004ø
The Stone Of Impermanence,Venice,Fennesz,397.1,0.679,0.449,2004ø
The Point Of It All,Venice,Fennesz,300.7,0.679,0.449,2004ø
The Other Face,Venice,Fennesz,205.3,0.679,0.449,2004ø
Surf,Field Recordings 1995 - 2002,Fennesz,335.3,0.679,0.449,2002ø
Stairs,Field Recordings 1995 - 2002,Fennesz,88.5,0.679,0.449,2002ø
Shisheido,Endless Summer,Fennesz,175.0,0.679,0.449,2001ø
Onsay,Venice,Fennesz,68.8,0.679,0.449,2004ø
On A Desolate Shore A Shadow Passes By,On A Desolate Shore A Shadow Passes By,Fennesz,480.1,0.679,0.449,2007ø
Namewithnohorse,Field Recordings 1995 - 2002,Fennesz,121.4,0.679,0.449,2002ø
Menthol,Field Recordings 1995 - 2002,Fennesz,231.1,0.796,0.449,2001ø
Made In Hong Kong,Endless Summer,Fennesz,262.5,0.679,0.449,2001ø
Laguna,Venice,Fennesz,175.8,0.679,0.449,2004ø
Instrument 4,Field Recordings 1995 - 2002,Fennesz,304.3,0.679,0.449,2002ø
Instrument 3,Field Recordings 1995 - 2002,Fennesz,315.8,0.679,0.449,2002ø
Endless Summer,Endless Summer,Fennesz,509.6,0.679,0.449,2001ø
Codeine,Field Recordings 1995 - 2002,Fennesz,316.5,0.679,0.449,2003ø
Circassian,Venice,Fennesz,348.6,0.679,0.449,2004ø
Chateau Rouge,Venice,Fennesz,399.9,0.679,0.449,2004ø
Caecilia,Endless Summer,Fennesz,231.2,0.679,0.449,2001ø
Betrieb,Field Recordings 1995 - 2002,Fennesz,234.6,0.679,0.449,2007ø
Before I Leave,Endless Summer,Fennesz,247.0,0.679,0.449,2001ø
Badminton Girl,Endless Summer,Fennesz,246.1,0.679,0.449,2002ø
Asusu,Venice,Fennesz,55.1,0.679,0.449,2004ø
