Trick Snitch,Pick Your Perversion EP,Otto von Schirach,246.7,0.669,0.46,2006ø
Subatomic Disco Divas,Oozing Bass Spasms,Otto von Schirach,240.5,0.669,0.46,2008ø
Spine Serpents Of Sperm Island,Oozing Bass Spasms,Otto von Schirach,104.2,0.669,0.46,2007ø
Sliced Doves On Codeine,Oozing Bass Spasms,Otto von Schirach,325.3,0.669,0.46,2007ø
Satanic Unicorn Orgy,Oozing Bass Spasms,Otto von Schirach,192.5,0.669,0.46,2007ø
S.T.D. Me,Oozing Bass Spasms,Otto von Schirach,140.0,0.669,0.46,2008ø
Pussy Pump,Oozing Bass Spasms,Otto von Schirach,206.7,0.669,0.46,2008ø
Nightmare Nipple F,Oozing Bass Spasms,Otto von Schirach,334.4,0.669,0.46,2008ø
Magnetic Rave Headache,Oozing Bass Spasms,Otto von Schirach,216.0,0.669,0.46,2008ø
Her Blood Is Poison,Oozing Bass Spasms,Otto von Schirach,248.0,0.669,0.46,2008ø
Gelatin Fixation,Oozing Bass Spasms,Otto von Schirach,257.0,0.669,0.46,2008ø
Dj Hepatitis Tofuburger,Oozing Bass Spasms,Otto von Schirach,56.0,0.669,0.46,2008ø
Dance Like A hoe,Oozing Bass Spasms,Otto von Schirach,272.1,0.669,0.46,2008ø
