What Do You Need? (Album Version),Gutterflower,Goo Goo Dolls,229.4,0.82,0.619,2002ø
Two Days in February,Hold Me Up,Goo Goo Dolls,191.8,0.82,0.619,1990ø
Sex Maggot,Jed,Goo Goo Dolls,115.9,0.82,0.619,1989ø
Out Of Sight,Jed,Goo Goo Dolls,129.9,0.82,0.619,1989ø
Naked (LP Version),A Boy Named Goo,Goo Goo Dolls,223.9,0.82,0.619,1995ø
Misfortune,Jed,Goo Goo Dolls,119.3,0.82,0.619,1989ø
Listen (Album Version),Let Love In,Goo Goo Dolls,189.5,0.535,0.619,2006ø
Kevin's Song,Hold Me Up,Goo Goo Dolls,189.1,0.82,0.619,1990ø
James Dean,Jed,Goo Goo Dolls,230.9,0.82,0.619,1989ø
Hey,Hold Me Up,Goo Goo Dolls,171.3,0.82,0.619,1990ø
Give A Little Bit (Album Version),Let Love In,Goo Goo Dolls,215.9,0.82,0.619,2006ø
Extra Pale (LP Version),Dizzy Up The Girl,Goo Goo Dolls,130.7,0.82,0.619,1998ø
Artie,Jed,Goo Goo Dolls,163.1,0.82,0.619,1989ø
Amigone (LP Version),Dizzy Up The Girl,Goo Goo Dolls,195.6,0.82,0.619,1998ø
7th Last Month,Jed,Goo Goo Dolls,187.9,0.82,0.619,1989ø
22 Seconds,Hold Me Up,Goo Goo Dolls,39.8,0.82,0.619,1990ø
