Don't Rock The Boat,The Best Of The Early Years,The Wailers,272.5,0.779,0.57,1995ø
Bend Down Low,Songs Of Freedom,The Wailers,153.0,0.779,0.57,2009ø
Wailin',The Fabulous Wailers,The Wailers,102.1,0.631,0.437,1998ø
Tough Bounce,The Fabulous Wailers,The Wailers,157.9,0.631,0.437,1998ø
Tall Cool One,Great Rock 'n' Roll Instrumentals  - Just About As Good As It Gets!  Volume 2,The Wailers,141.8,0.631,0.437,1997ø
Swing Shift,The Fabulous Wailers,The Wailers,163.0,0.631,0.437,1998ø
Snake Pit,Golden Crest Instrumentals Featuring The Wailers,The Wailers,142.7,0.631,0.437,1998ø
Shanghied,The Fabulous Wailers,The Wailers,117.1,0.631,0.437,1998ø
Road Runner,The Fabulous Wailers,The Wailers,163.2,0.631,0.437,1998ø
Mau-Mau,Golden Crest Instrumentals Featuring The Wailers,The Wailers,123.5,0.631,0.437,1998ø
Gunnin' For Peter,The Fabulous Wailers,The Wailers,134.2,0.631,0.437,1998ø
Dirty Robber (45 Version),The Fabulous Wailers,The Wailers,153.5,0.631,0.437,1998ø
