You Wanted Love,Ministry Of Dance,2 Vibez,191.4,0.501,0.405,2007ø
Trouble (Junkfood Junkies Remix),Trouble,2 Vibez,331.9,0.501,0.405,2005ø
Trouble (Junkfood Junkies Radio Edit),Trouble,2 Vibez,201.4,0.501,0.405,2005ø
Trouble (Bass-T Remix),Trouble,2 Vibez,389.9,0.501,0.405,2004ø
Trouble (Bass-T Remix Cut),Trouble,2 Vibez,221.1,0.501,0.405,2005ø
Sometimes (Radio Edit),Trouble,2 Vibez,227.7,0.501,0.405,2005ø
Sometimes (Club Mix),Trouble,2 Vibez,371.7,0.501,0.405,2005ø
On My Way,myTrance Vol. 1,2 Vibez,324.7,0.501,0.405,2006ø
Move Alone,Bass Beats & Energy Vol. 2,2 Vibez,227.5,0.501,0.405,2006ø
Love Will Rise Again,Hard Dance - The Best Of,2 Vibez,235.4,0.501,0.405,2009ø
Keep On Trying,Hard Dance - The Best Of,2 Vibez,215.7,0.501,0.405,2008ø
Always (Be Mine) (Radio Edit),Always (Be Mine) / The Night Is Mine,2 Vibez,230.6,0.501,0.405,2005ø
