Electro Movimiento,Latin 101,Calle 13,197.0,0.788,0.508,2008ø
Un Beso de Desayuno,Residente o Visitante,Calle 13,290.8,0.788,0.498,2007ø
Uiyi Guaye,Residente o Visitante,Calle 13,305.5,0.788,0.498,2007ø
Tengo Hambre,Calle 13 (Clean Version),Calle 13,244.4,0.788,0.498,2005ø
Suave,Calle 13 (Clean Version),Calle 13,212.8,0.651,0.498,2005ø
Se Vale To-To,Calle 13 (Clean Version),Calle 13,230.3,0.651,0.498,2005ø
Pi-di-di-di,Calle 13 (Clean Version),Calle 13,211.1,0.788,0.498,2005ø
La Madre De Los Enanos,Calle 13 (Clean Version),Calle 13,241.0,0.788,0.498,2005ø
La Hormiga Brava,Calle 13 (Clean Version),Calle 13,225.0,0.651,0.498,2005ø
La Fokin Moda,Residente o Visitante,Calle 13,206.4,0.788,0.498,2007ø
La Era de la Copiaera,Residente o Visitante,Calle 13,277.6,0.788,0.498,2007ø
La Crema,Residente o Visitante,Calle 13,241.1,0.788,0.498,2007ø
Cumbia de los Aburridos,Residente o Visitante,Calle 13,246.6,0.788,0.498,2007ø
Cabe-c-o,Calle 13 (Explicit Version),Calle 13,214.8,0.788,0.498,2005ø
A Limpiar El Sucio,Residente o Visitante,Calle 13,253.5,0.788,0.498,2007ø
