Zombie Fight,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,68.8,0.562,0.378,2007ø
Yvaine,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,168.4,0.562,0.378,2007ø
Tristan & Yvaine,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,125.2,0.562,0.378,2007ø
Tristan,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,40.4,0.562,0.378,2007ø
Three Witches,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,162.3,0.562,0.378,2007ø
The Star Shines,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,201.6,0.562,0.378,2007ø
Snowdrop,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,166.6,0.562,0.378,2007ø
Septimus,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,82.5,0.562,0.378,2007ø
Prologue (Through The Wall),Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,225.4,0.562,0.378,2007ø
Lamia's Lair,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,237.9,0.562,0.378,2007ø
Lamia's Doll,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,101.7,0.562,0.378,2007ø
Flying Vessel,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,221.6,0.562,0.378,2007ø
Creating The Inn,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,118.8,0.562,0.378,2007ø
Coronation,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,152.3,0.562,0.378,2007ø
Cap'n's At The Helm,Stardust - Music From The Motion Picture,Ilan Eshkeri | London Metropolitan Orchestra | Andy Brown,61.8,0.562,0.378,2007ø
